Index,mol_min,NAME,Source,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCG2_Inhib_binary,ABCB1_Inhib,ABCB1_Inhib_binary,BSEP_Inhib,BSEP_Inhib_binary,OATP1B1_Sum_Binary,OATP1B1_binary,OATP1B3_Sum_Binary,OATP1B3_binary,Transporter_binary_score,Transporter_Sum_float,Binary_Characterization,DILI
276,O(C(=O)C=1[C@@H](C(C(OC\C=C\c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCOC,Cilnidipine,Source Liew,74.004204,0,0,2,3,3,0,12,0,64,1,4,36,26,99.360619,1.5525097,0,0,27,0,0,28,0,2,7,0,0,1.7172841,-2.5143552,-0.50515521,0.57240611,2.5405293,-2.5560918,-0.40580076,0.66926306,2.5852745,-2.2412739,-0.38195479,0.7024129,2.8150864,40.189796,10,0.2631579,12,66,6,38,5,12,0.31578946,48,0,26.078775,20.354475,16.549524,18.672998,17.328606,11.307858,8.1283331,10.845772,1,0,0.75401026,17,0,-0.81226003,-0.40065211,0.058154747,2.7966504,-1.0865439,-0.26386139,0.13745588,2.8475835,-0.51365381,-0.19878735,0.17731968,3.0573258,30.540167,15.555555,8.757576,22.437916,11.320912,6.3312874,7.056047,9,1,1,0,4.7127399,-6.4098201,13.467249,1,1,19,0,3,10,2,6.4840002,-6.4840002,2.9295554,-2.9295554,0.099737316,0.12994923,97.181351,134.18964,8.6190128,0,0,36.11655,0,41.912434,110.29414,0,0,0,61.201782,7.5112681,0.78908634,0.44448286,0.13824835,0.21091364,0.55551714,0.072665289,392.19656,220.91962,68.713051,104.8296,276.10654,36.11655,0.47058824,0.8888889,6.4840002,-6.4840002,0.13988279,0.092535473,0.61192477,0.44975844,0.16290481,0.3880752,0.55024153,0.2251704,304.14264,223.54172,80.967957,192.88353,273.48444,111.91558,9,1,3,0.13988279,0.092535473,1,4.2758002,18.01075,22.576544,80.724098,113.71378,6.37115,47.268513,4.4107962,176.43184,17.643185,69.408775,13.36431,87.809715,0,68.945755,22.666592,2.7567475,176.43184,95.912888,102.0359,119.68,0.32203031,6.2479277,3.7816811,10.072918,497.02615,653.21124,29.637598,0,0,5.6825762,369.71359,68.35556,35.320175,492.52798,4144,57,178,0.40131408,0,0.85196543,1,1,1,3,1,4,1,4,9.2532797,1,positive
277,Clc1c(cccc1Cl)[C@H]1C(C(OCOC(=O)CCC)=O)=C(NC(C)=C1C(OC)=O)C,Clevidipine,Source Chen,62.568237,0,0,2,3,3,0,6,0,53,1,4,30,19,89.789421,1.69414,0,0,21,2,0,23,0,1,6,0,0,2.2426484,-2.5092013,-0.40461832,0.35700297,2.5363936,-2.5183117,-0.18433306,0.44615695,2.5988755,-2.2673347,-0.13912158,0.5973419,2.8130651,35.265762,7,0.22580644,6,54,5,31,4,10,0.32258064,43,0,22.421921,18.647999,13.430721,14.593493,14.221652,10.014939,6.1707025,7.5865521,1,0,0.82468659,13,0,-0.81082898,-0.41792092,-0.049978692,2.7144001,-1.0865384,-0.26918676,0.070714273,2.7806549,-0.52304268,-0.1497705,0.19095948,2.9846361,26.253902,12.296376,6.5152354,22.52895,10.493357,5.5380998,7.8801441,7,1,1,0,4.7410002,-5.50983,11.539027,0,1,12,1,2,7,1,4.8720002,-4.8720002,2.4414501,-2.4414501,0.1203991,0.12899773,111.23055,43.162582,8.6190128,21.201273,0,44.125496,0,60.66011,102.42138,0,0,0,45.845165,2.503756,0.78972065,0.48077571,0.10994155,0.21027938,0.51922429,0.10033783,347.29492,211.43042,48.348923,92.474419,228.33893,44.125496,0.46153846,0.85714287,4.8720002,-4.8720002,0.14490969,0.12315271,0.66506904,0.37361005,0.10994155,0.33493096,0.62638992,0.2249894,292.47696,164.30225,48.348923,147.29236,275.46707,98.943443,7,0,2,0.14490969,0.12315271,1,4.2452002,18.01075,23.236393,104.58631,22.984112,3.185575,47.268513,11.412009,52.929554,37.736813,178.27533,11.17137,104.58631,0,18.01075,26.482229,0,90.666367,46.220505,213.65919,90.93,0.36176345,5.9541965,3.4653907,9.5539312,439.76935,553.32776,40.700764,0,0,5.6825762,293.36288,79.945221,46.383339,456.32199,2375,51,148,0.32038456,0,0.29888269,0,0.2,0,3,1,1,0,1,4.8192673,0,negative
278,Cl[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C,Clocortolone,Source Mulliner_Liew,63.335205,0,0,2,2,4,0,0,0,56,2,6,28,22,84.498444,1.5089008,0,0,22,1,1,28,0,0,4,0,0,1.7674142,-2.9036858,-0.51192081,0.48087466,2.9839771,-2.9180033,-0.44605613,0.54449993,3.0070646,-2.6644385,-0.32335097,0.66791177,3.2265646,34.148796,2,0.064516127,0,59,4,31,5,2,0.064516127,55,0,20.645901,17.247362,14.02458,14.6459,13.001908,10.480289,8.71245,9.4854002,9,0,0.78651083,12,0,-0.7978577,-0.39410213,0.012764722,3.3521001,-0.92157149,-0.3211323,0.022327561,3.3930855,-0.53786308,-0.22333689,0.15861207,3.5804553,21.240376,6.75,2.640625,19.598719,6.2090211,2.423646,4.3460307,4,2,1,0,3.1900001,-4.6484098,10.487569,1,1,20,1,4,2,0,3.9649999,-3.9660001,2.1758652,-2.1758652,0.096498542,0.17923652,81.042336,34.76263,20.418549,16.917038,20.648346,0,0,52.822289,68.49794,29.581947,0,11.908636,27.133842,15.535081,0.80165535,0.54177886,0.14390212,0.19834465,0.45822114,0.054442536,304.04272,205.47972,54.577557,75.225906,173.78889,20.648346,0.5,1,3.9649999,-3.9660001,0.13644388,0.17145739,0.57414931,0.32465842,0.26003456,0.42585069,0.67534155,0.16581614,217.75682,123.13276,98.622948,161.51181,256.13586,62.888863,6,1,4,0.13644388,0.17145739,0.32142857,2.9981,50.770454,11.375222,64.539322,20.926258,17.643185,3.185575,0,52.929554,56.605217,154.08681,10.35086,47.724434,65.730568,17.643185,20.000463,0,109.53477,32.301479,139.12669,74.599998,0.39893496,5.9541965,3.1469295,9.3652163,379.26862,522.4505,27.133842,0,0,0,275.14743,16.917038,54.267685,410.91299,1674,66,166,0.1514679,0,0.40021777,0,0.4,0,0,0,0,0,0,0.95168567,0,negative
279,Clc1cc2c(NC(=O)[C@H](N=C2c2ccccc2)C(O)=O)cc1,Clorazepate,Source Mulliner_Liew,42.280724,0,0,2,2,4,0,12,0,33,3,7,22,14,57.656372,1.7471627,0,0,16,1,0,11,0,2,3,0,0,1.8379061,-2.2748244,-0.61484659,0.62042606,2.4640384,-2.5067484,-0.55044478,0.81458765,2.4111233,-1.999974,-0.42199406,0.86327994,2.7315397,16.341276,2,0.083333336,12,35,3,24,2,2,0.083333336,20,0,15.68987,12.04097,8.6961527,10.275657,10.558551,6.9066753,4.7260675,6.6161566,1,0,0.82771039,8,0,-0.80659395,-0.4434661,0.091797657,2.5067124,-1.0085018,-0.3745769,0.16734481,2.5731573,-0.43089396,-0.22334498,0.24839769,2.8185577,16.84375,7.2664361,3.7530863,12.198901,5.1748714,2.6403098,2.8694432,5,2,1,0,2.5380001,-4.6335201,8.2911777,0,1,18,1,3,2,0,4.4099998,-4.4099998,1.9269291,-1.9269291,0.15242371,0.17088434,8.9368258,51.787575,0,8.6190128,13.470133,27.65803,0,36.764713,90.856468,0,0,0,32.816418,7.9044313,0.70643824,0.60377979,0.14605044,0.29356176,0.39622018,0.14751132,196.9646,168.34203,40.720848,81.849014,110.47158,41.128162,0.5,1,4.4099998,-4.4099998,0.14943311,0.15782313,0.65149629,0.60377979,0.14605044,0.34850371,0.39622018,0.20245327,181.64603,168.34203,40.720848,97.16758,110.47158,56.446728,4,0,3,0.14943311,0.15782313,1,2.5827,0,33.771748,51.706402,25.385227,6.37115,16.78553,3.5006065,141.14548,0,41.905392,8.3586502,47.724434,16.78553,25.385227,13.853725,20.767498,141.14548,15.760995,39.148643,78.760002,0.46637034,5.5849624,2.8884017,8.6776772,278.8136,380.23929,19.249496,0,0,5.6825762,178.38583,34.357582,52.065914,314.728,937,39,116,0.377709,0,0.33714023,0,0,0,0,0,0,0,0,0.71484923,1,positive
280,Clc1ccc(cc1)/C(=N/OCCN)/CCCCOC,Clovoxamine,Source Mulliner_Liew,44.626652,1,0,0,1,3,0,6,0,40,1,4,19,14,63.335487,1.5833873,0,0,14,1,0,21,0,2,2,0,0,2.3059666,-2.5940621,-0.58666027,0.561643,2.5646679,-2.6892669,-0.36512351,0.80591482,2.6541088,-2.3503165,-0.25305071,0.85431087,2.81374,26.549347,9,0.47368422,6,40,1,19,7,9,0.47368422,33,0,13.924439,12.026996,9.052042,9.8031187,9.2743874,6.7918949,4.4249206,5.3745747,0,0,0.74052352,11,0,-0.8308084,-0.38367805,0.017614402,2.4549842,-1.363206,-0.26386139,0.16445385,2.5399656,-0.52650982,-0.10495398,0.19305076,2.7192073,17.052631,10.747934,7.3727999,15.368615,9.6274424,6.5727472,7.7873926,4,2,1,0,2.888,-2.77109,7.9418769,0,1,7,1,1,9,0,3.0569999,-3.0569999,1.4524354,-1.4524354,0.081442803,0.26367432,91.784111,68.570091,17.238026,0,0,0,0,52.822289,54.091755,10.885262,0,5.9023595,0,9.1548758,0.95149851,0.42794997,0.048501514,0.048501514,0.57205003,0,295.39154,132.85654,15.057235,15.057235,177.59222,0,0.45454547,0.83333331,3.0569999,-3.0569999,0.11776251,0.32384691,0.61999321,0.3367514,0.083564505,0.38000679,0.6632486,0.2964423,192.47612,104.54406,25.942497,117.97264,205.90471,92.030144,6,1,1,0.11776251,0.32384691,0.63157892,2.8361001,32.897186,2.7567475,22.218651,60.292095,3.185575,54.78373,3.5006065,70.572739,56.605217,39.148643,7.8722401,22.218651,19.399862,0,6.6861815,32.897186,127.17796,63.048843,74.532509,56.84,0.48546076,5.2479277,3.2848589,8.1920528,310.44876,384.57523,13.389018,0,0,0,247.04459,12.601911,31.131508,284.78699,820,22,82,0.14352916,0,0.047857303,0,0.1,0,0,0,0,0,0,0.29138646,1,positive
281,Clc1cc2NC(N3CCN(CC3)C)=C3C(=Nc2cc1)C=CC=C3,Clozapine,Source Liew,50.929066,0,0,2,2,2,0,6,0,42,1,3,23,17,62.708057,1.493049,0,0,18,1,0,19,0,4,0,0,0,1.5438303,-2.7495205,-0.55997419,0.60018831,2.6482685,-2.8659782,-0.45215678,0.73731059,2.5515823,-2.4640524,-0.37053332,0.81695938,2.9277475,27.130934,1,0.03846154,6,45,4,26,2,1,0.03846154,35,0,15.811191,13.845413,10.869879,12.242276,11.20351,8.265276,4.8153839,6.4494896,0,0,0.74258256,10,0,-0.85621661,-0.38528615,0.052316118,2.7144053,-0.9610889,-0.29688707,0.15409587,2.7750466,-0.51391512,-0.18482554,0.20400475,3.0108931,16.467455,7.0869246,3.52,12.901339,5.486237,2.7003298,3.0773826,4,1,1,0,2.8340001,-4.2621298,9.1830454,0,1,23,1,4,3,0,4.0890002,-4.0900002,1.457476,-1.457476,0.092338979,0.20781974,113.11638,54.447369,8.6190128,0,0,0,0,72.258308,66.346657,0,0,5.8194671,0,0,0.9818486,0.45047158,0.018151393,0.018151393,0.54952842,0,314.78772,144.42442,5.8194671,5.8194671,176.18277,0,0.5,1,4.0890002,-4.0900002,0.10295916,0.20488998,0.69699365,0.37798822,0.018151393,0.30300635,0.62201178,0.28485498,223.46117,121.18575,5.8194671,97.146019,199.42145,91.326553,5,0,4,0.10295916,0.20488998,1,3.4230001,0,27.016127,0,73.758316,0,55.196213,3.5006065,123.50229,0,44.66214,9.6545696,0,23.034157,0,9.014102,23.524246,123.50229,76.51506,72.04583,30.870001,0.46357921,5.7004399,3.0642488,8.7875357,320.60721,440.12747,5.6825762,0,0,5.6825762,275.46628,17.890114,11.365152,326.83099,1082,41,126,0.24731895,0,0.47836819,0,0.2,0,0,0,0,0,0,0.92568713,1,positive
282,O=C(N1CCc2[nH]c(nc2-c2c1cccc2)C)c1ccc(NC(=O)c2ccccc2-c2ccccc2)cc1,Conivaptan,Source Mulliner_Liew_Chen,79.660622,0,0,3,4,4,0,29,0,64,3,7,38,29,91.788567,1.4341964,0,0,32,0,0,26,0,4,2,0,0,1.0267067,-2.4899213,-0.6426791,0.68984658,2.5142899,-2.5839162,-0.53807992,0.76649058,2.5341806,-2.2047598,-0.47303361,0.85431087,2.8125761,34.959381,5,0.11627907,29,69,2,43,2,6,0.13953489,38,0,26.061903,20.940092,18.229168,21.363232,18.580521,12.609208,9.9903049,13.901415,0,0,0.7144931,19,0,-0.84218198,-0.38881707,0.079732276,2.7597127,-0.99367774,-0.26386139,0.16445385,2.8555422,-0.49980703,-0.21605732,0.19305076,3.0645623,28.135208,12.886858,6.2782006,18.634314,8.4317665,4.0728688,4.1347418,6,2,1,1,5.8210001,-8.9737301,14.896384,0,1,34,0,6,4,3,5.6110001,-5.6110001,2.6657388,-2.6657388,0.097127944,0.12952176,71.776062,85.910667,11.190562,17.238026,0,25.899061,0,96.694183,134.80394,0,0,5.6825762,27.133842,0.27378201,0.8762297,0.55515492,0.069429316,0.1237703,0.44484511,0.054340988,417.61343,264.58832,33.090199,58.989262,212.01437,25.899061,0.47368422,0.89999998,5.6110001,-5.6110001,0.096952416,0.10158617,0.79861158,0.52032065,0.083198979,0.20138843,0.47967935,0.11818945,380.62042,247.98622,39.652859,95.982269,228.61647,56.329414,10,0,6,0.096952416,0.10158617,1,6.5072899,3.1243138,45.313847,16.78553,18.439579,59.180252,18.868406,0,312.24762,0,38.839512,15.04144,47.724434,16.78553,19.909843,11.455817,35.837719,318.80255,28.957146,33.326015,78.089996,0.325683,6.4262648,3.9878411,10.178023,476.60269,697.81781,27.133842,0,0,5.6825762,372.10178,37.089626,44.181568,498.586,5138,68,208,0.29374659,0,0.77256215,1,1,1,3,1,4,1,4,9.066309,0,negative
283,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CO)Cc1ccc(O)cc1)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1[nH]cnc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O)C)C)CO)C)C,Corticotropin,Source Liew,680.70825,0,0,3,5,68,0,44,0,630,71,139,322,158,1054.8042,1.6742924,0,0,207,0,0,308,0,56,58,0,1,0.64965147,-2.6922758,-0.54394507,0.57264227,2.7499182,-2.8883224,-0.53807992,0.57413155,2.7045341,-2.4375277,-0.38983461,0.70942581,3.0029185,412.09576,149,0.44744745,45,641,49,333,8,186,0.55855858,547,0,238.21095,182.17941,128.37646,136.91017,152.86887,107.85753,64.438751,72.461906,36,0,0.77804083,122,0,-0.86279356,-0.44163546,0.079497941,3.5203428,-1.3710617,-0.40905243,0.054200001,3.4369113,-0.53344041,-0.24013183,0.19305076,3.7497611,299.21094,163.77551,112.85638,228.33385,124.87002,85.995987,88.546745,114,72,0,3,-9.941,-27.863831,116.9254,0,1,68,0,12,152,6,81.402,-81.403,39.130863,-39.130863,0.0072194142,0.010042725,919.79248,468.42218,203.7101,477.99536,628.92175,102.9595,0,502.08255,419.58929,0,19.760618,5.6825762,660.66876,158.4093,0.65922856,0.3866452,0.18055202,0.34077141,0.6133548,0.16021939,3011.3525,1766.1931,824.76068,1556.642,2801.8015,731.88129,0.5,1,81.402,-81.403,0.0080956239,0.012161714,0.44440347,0.26675299,0.18995053,0.55559653,0.73324704,0.365646,2030.0327,1218.5261,867.69293,2537.9619,3349.4683,1670.2689,61,0,12,0.0080956239,0.012161714,1,-15.1623,1089.3986,294.29086,1274.5839,515.86304,39.513382,163.77002,0,627.31323,754.73621,409.29257,115.65216,1097.662,156.20892,990.32452,175.70793,300.79178,1414.3953,603.1745,430.49689,1836.25,0.056014985,9.3793783,6.6652799,16.330427,4567.9946,5836.6357,529.10992,0,0,286.90784,2249.0127,679.82642,1227.0944,4541.1411,2215300,490,1562,0.4683114,0,0.99537075,1,0.5,1,0,0,3,1,3,4.9636822,0,negative
284,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](N)CO)Cc1ccc(O)cc1)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1nc[nH]c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(O)=O)C,Cosyntropin,Source Liew,451.14853,0,0,3,5,41,0,32,0,418,45,86,208,108,689.3324,1.6491206,0,0,136,0,0,210,0,40,31,0,1,0.85916275,-2.69225,-0.56643426,0.60123163,2.7498777,-2.8882556,-0.53807992,0.62280089,2.7045341,-2.4375129,-0.40661228,0.72700244,3.0028481,274.28348,96,0.44444445,33,426,28,216,8,119,0.55092591,365,0,152.9958,119.23667,84.714783,90.171867,99.216057,71.61718,42.608219,47.702282,22,0,0.76337725,75,0,-0.86279351,-0.4410809,0.082493231,3.4771376,-1.3710614,-0.40098131,0.13645583,3.3970909,-0.531896,-0.23955426,0.19305076,3.7076828,191.02777,105.17417,69.813416,147.52983,81.119331,53.798752,57.53616,71,50,0,3,-3.697,-18.475281,77.027245,0,1,51,0,9,99,6,52.004002,-52.005001,24.811211,-24.811211,0.011381475,0.015838828,642.95422,310.14465,159.66664,340.09116,359.78424,29.416998,0,380.51324,259.54492,0,19.760618,5.6825762,375.76343,103.23647,0.70739448,0.38321733,0.16228792,0.29260552,0.61678267,0.13031761,2112.6755,1144.5012,484.6825,873.88373,1842.058,389.20123,0.49333334,0.97368419,52.004002,-52.005001,0.012672102,0.01903663,0.45021468,0.25498515,0.18002695,0.54978532,0.74501485,0.36975837,1344.5928,761.5282,537.66113,1641.9664,2225.031,1104.3053,38,0,9,0.012672102,0.01903663,1,-7.9646401,778.9657,168.29871,717.7298,331.13147,28.731436,126.0332,0,450.88138,509.44696,242.66249,76.62796,596.55542,127.69938,606.83704,113.58922,267.89459,954.93738,422.50125,263.86679,1158.72,0.080695055,8.7548876,5.9771266,15.097955,2986.5591,3842.78,312.03918,0,0,189.6093,1543.6813,399.09146,763.48889,2933.491,591324,316,1010,0.67073876,1,0.99410677,1,0.6,1,1,0,3,1,4,6.2648454,0,negative
285,Oc1ccc(cc1)C,Cresol,Source Mulliner_Liew,18.456345,1,1,0,0,1,0,6,0,16,1,2,8,7,20.348516,1.2717823,0,0,7,0,0,8,0,0,1,0,0,2.2646422,-2.2781928,-0.64314246,0.70280874,2.2242036,-2.1145222,-0.53807992,0.80591482,2.4045694,-1.9867636,-0.49986199,0.85431087,2.5280378,8.745656,0,0,6,16,0,8,2,0,0,10,0,5.9831276,4.7566147,4.309401,4.9831276,3.7876937,2.5449741,2.3213673,3.2103434,0,0,0.66826785,5,0,-0.7653659,-0.38192928,0.08246544,1.9880942,-0.76172304,-0.26386139,0.16445385,2.1711168,-0.47905454,-0.21605732,0.19305076,2.2799408,6.125,2.52,1.8,4.3645353,1.6948504,1.1498824,0.9246543,1,1,1,0,1.896,-1.49685,3.3481097,0,1,6,1,1,0,0,1.276,-1.276,0.62602508,-0.62602508,0.34713191,0.57478905,12.796158,25.520063,0,0,10.324173,0,0,43.257484,26.718348,0,0,0,0,7.7675405,0.85685098,0.61513734,0.061459951,0.14314902,0.38486266,0.081689075,108.29205,77.74337,7.7675405,18.091713,48.640392,10.324173,0.40000001,0.66666669,1.276,-1.276,0.35266459,0.4169279,0.85685098,0.46679804,0.061459951,0.14314902,0.53320193,0.081689075,108.29205,58.995697,7.7675405,18.091713,67.388069,10.324173,3,0,1,0.35266459,0.4169279,1,1.7006201,25.385227,0,0,0,3.185575,0,0,70.572739,0,38.569443,3.28438,0,25.385227,0,8.4290028,0,70.572739,0,33.326015,20.23,0.8112781,4,1.9905418,5.649457,126.38377,161.82135,0,0,0,0,103.30949,0,13.566921,108.14,62,7,36,0.21369882,0,0.002389607,0,0,0,0,0,0,0,0,0.21608843,1,positive
286,P(O[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)n1c2cc(C)c(cc2nc1)C)(O[C@@H](CNC(=O)CC[C@]1(/C=2/N=C([C@]3(N=C([C@@H](CCC(=O)N)[C@]3(CC(=O)N)C)\C(=C\3/N=C(\C=C\4/N=C([C@H](CCC(=O)N)C/4(C)C)\C=2\C)[C@H](CCC(=O)N)[C@]/3(CC(=O)N)C)\C)C)[C@@H]1CC(=O)N)C)C)(O)=O,Cyanocobalamin,Source Liew,196.95578,0,0,3,5,19,0,9,0,178,11,30,90,49,291.6817,1.6386613,0,0,62,0,0,88,0,13,14,1,0,1.1183602,-2.7528286,-0.50877655,0.46501383,2.8591356,-2.7882333,-0.49722832,0.39306092,2.8624957,-2.5195007,-0.30579337,0.64014047,3.1142571,122.37421,26,0.26804122,10,185,14,97,8,27,0.2783505,161,0,66.705284,54.019337,40.197941,42.263973,41.829678,31.889366,21.353827,23.596863,14,1,0.76872611,30,0,-0.83612782,-0.41666853,0.057766128,3.7858443,-1.3711629,-0.34933645,0.016167333,3.8187938,-0.5369153,-0.21973151,0.20257588,4.0352058,75.766823,29.831024,15.723308,61.555805,24.176878,12.72204,16.535858,27,16,0,3,-3.8789999,-8.5253201,33.282368,0,1,42,0,7,31,5,18.263,-18.261,8.9363117,-8.9363117,0.046386842,0.043911342,345.85794,132.47508,18.980173,131.76729,111.29506,0,18.713068,192.89018,93.738388,15.729136,0,5.6825762,136.96045,58.082443,0.73796469,0.39858535,0.15903181,0.26203534,0.60141468,0.10300352,931.43817,503.08319,200.72546,330.73361,759.08862,130.00813,0.5,1,18.263,-18.261,0.082899854,0.043809213,0.55672348,0.21292904,0.17149377,0.44327649,0.78707099,0.27178273,702.68066,268.75302,216.45461,559.49109,993.41876,343.0365,15,0,8,0.082899854,0.043809213,0.43333334,2.67134,309.90506,66.523094,217.75327,39.365837,24.014334,81.783508,0,74.003357,213.59229,383.28101,33.353249,214.31242,157.90416,35.653934,52.92696,201.6714,277.26755,87.204315,383.28101,460.35001,0.16308148,7.5999126,4.6080441,12.712564,1262.1718,1652.6523,135.21703,0,0,112.13751,672.16998,173.89804,305.94666,1270.437,45180,174,498,0.013508976,0,0.97026724,1,0.6,1,4,1,4,1,4,9.5837765,0,negative
