Index,mol,P (DILI=Negative),P (DILI=Positive),Prediction (DILI),True_Class_vDILIConcern,Binary_characterization,LTKBID,PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,SMILES,URL (accessed on 1/21/2016),VER_DISP (1=LTKB-BD  2=others),apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCB1_Inhib,BSEP_Inhib,OATP1B1_Sum_Binary,OATP1B3_Sum_Binary,Transporter_binary_score,Transporter_Sum_float,Binary_Characterization
11,ClC=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,0.63,0.37,Negative,Positive,1,LT01166,40958,cefaclor,1979,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,ClC=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)C(N)c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac5e34a9-994b-4611-aa41-3d1ed58a91c0,2,47.323101,0,0,1,3,2,2,6,1,38,1,3,24,14,74.760033,1.9673692,0,0,15,1,0,14,0,3,4,0,1,1.5845311,-2.682864,-0.61320341,0.65795445,2.7322197,-3.2418931,-0.52069521,0.65599364,2.6036553,-2.4020402,-0.4276284,0.80604941,3.0123122,23.156898,4,0.15384616,6,40,4,26,3,5,0.1923077,30,0,17.430357,13.971861,8.3259087,9.4387932,11.413591,8.5725069,3.9635956,5.2247448,3,3,0.88888943,12,0,-0.84030402,-0.415968,0.14054547,2.5811839,-2.2262509,-0.387391,0.13215783,2.5213988,-0.64105022,-0.21174771,0.22412437,2.8392246,18.781065,7.7091413,3.6183696,15.760539,6.4170837,2.9944053,4.2140288,7,4,1,0,0.96100003,-4.0933399,9.0301485,0,1,15,1,3,4,0,0,0,3.1014411,-3.1014411,0.11149859,0.17510627,21.416687,55.7855,12.533369,11.764974,0,25.899061,25.857038,0,90.856468,19.760618,0,0,27.133842,28.376167,0.6641466,0.52014893,0.17380349,0.3358534,0.4798511,0.1620499,212.11761,166.12709,55.51001,107.26611,153.25662,51.7561,0.5,1,0,0,0,0,1,0,0,0,1,0,319.38373,0,0,0,319.38373,0,6,0,3,0,0,1,-1.3347,93.591278,15.105889,77.915749,17.233564,3.185575,6.2573543,0,88.215919,3.9819686,71.368187,8.5091801,114.26999,3.1243138,50.90794,19.753994,0,88.215919,29.215139,71.368187,117.18,0.43739632,5.7004399,3.3900189,8.8684988,319.38373,413.78937,54.267685,27.133842,17.742489,23.425066,181.67215,40.607563,77.692749,367.81299,1383,39,128,0.011179101,0.11042243,0,0,0,1,1.455217689276,1
12,S1[C@H]2N(C(C(O)=O)=C(C1)COC(=O)N)C(=O)[C@H]2NC(=O)\C(=N/OC)\c1occc1,0.88999999,0.11,Negative,Positive,1,LT01186,5361202,cefuroxime,1983,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,S1[C@H]2N(C(C(O)=O)=C(C1)COC(=O)N)C(=O)[C@H]2NC(=O)\C(=N\OC)\c1occc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8da31eca-51cf-4a01-9159-740f772b0f15,2,51.877895,0,0,2,4,4,2,5,0,44,2,6,29,10,85.611633,1.9457189,0,0,16,0,0,15,0,4,8,0,1,1.6207769,-2.6895297,-0.58913875,0.52639663,2.7294819,-2.8954222,-0.54007506,0.54828817,2.6099327,-2.3995857,-0.39541233,0.72538787,3.0163076,31.196104,7,0.22580644,5,46,6,31,3,9,0.29032257,35,0,21.129028,15.763474,9.3009653,10.309036,13.845443,9.1580276,3.284457,4.2247448,2,2,0.90900391,14,-1,-0.83676809,-0.46276137,0.044814721,2.5647845,-1.4899639,-0.45825258,0.090973139,2.5022032,-0.52907968,-0.20491964,0.255173,2.8531651,23.658689,10.543388,5.2577777,18.371925,8.108532,4.0147886,5.1368732,12,3,1,1,-0.79000002,-4.2709799,9.8251925,0,1,15,1,3,7,1,0,0,3.1439319,-4.1439319,0.11399537,0.13106368,19.208147,118.25036,12.533369,41.01511,0,25.899061,19.199511,26.718348,0,30.64588,0,13.566921,35.539959,36.42561,0.65532911,0.37703392,0.22567803,0.34467092,0.62296605,0.11899288,248.37122,142.89671,85.532486,130.63106,236.10556,45.098572,0.5,1,0,0,0,0,1,0,0,0,1,0,379.00226,0,0,0,379.00226,0,7,1,3,0,0,1,-1.8707,93.591278,25.179274,100.1344,38.159824,5.4488211,70.233398,0,55.192799,0,56.081757,9.4846096,169.8582,22.524176,18.01075,17.72024,32.897186,55.192799,60.214783,67.603409,176.59,0.3796615,5.9541965,3.6140857,9.4251375,379.00226,465.76474,78.719864,27.133842,0,23.425066,151.16232,107.93349,102.14493,423.38199,2349,44,150,0.082569726,0.21686946,0,0,0,0,0.3182913251225,1
13,Cl\C(=C(/c1ccc(OCCN(CC)CC)cc1)\c1ccccc1)\c1ccccc1,0.31999999,0.68000001,Positive,Positive,1,LT00233,1548955,clomiphene,1967,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,Cl\C(=C(/c1ccc(OCCN(CC)CC)cc1)\c1ccccc1)\c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=df518802-0efd-4da4-816d-65a7e92cecd2,2,69.178993,0,0,2,3,1,0,18,1,58,0,1,29,27,76.670013,1.3218968,0,0,26,1,0,29,0,1,1,0,0,1.5201284,-2.7150002,-0.64212608,0.69824487,2.6810913,-3.4923201,-0.53807992,0.80591482,2.4438059,-2.5163555,-0.48550388,0.85431087,2.8683128,35.359001,9,0.29032257,18,60,1,31,6,9,0.29032257,41,0,20.47648,17.953472,15.911331,18.192024,14.223877,10.677354,8.5569477,11.513534,0,0,0.68198454,15,1,-0.88062924,-0.3872526,0.079735227,2.6799786,-2.2596202,-0.26386139,0.16445385,2.7562666,-0.62940985,-0.21605732,0.19305076,2.940026,23.658689,12.7575,7,18.682489,9.9838428,5.4418135,6.4318295,2,1,1,0,7.467,-6.8187799,12.456913,0,1,19,1,3,9,1,0,0,2.5721564,-1.5721564,0.13547021,0.21569075,27.800856,133.2014,28.143618,0,0,0,8.6190128,68.630783,176.64079,0,0,0,0,2.503756,0.97503531,0.55612338,0.0056195962,0.024964679,0.44387662,0.019345084,434.41745,247.77533,2.503756,11.122769,197.76489,8.6190128,0.46666667,0.875,0,0,0,0,1,0,0,0,1,0,445.54022,0,0,0,445.54022,0,8,0,3,0,0,1,4.96279,14.124202,0,0,79.430565,9.5567245,0,0,250.50519,0,111.04411,12.24397,3.1243138,10.999887,3.185575,14.800153,3.5006065,247.00458,76.244995,105.80067,13.67,0.3796615,5.9541965,3.7034278,9.4106607,445.54022,596.75397,2.503756,0,0,0,414.48718,0,2.503756,406.97699,2488,43,142,0.30515262,0.25006509,0.89999998,0,0,0,0.2186627387998,1
14,N(N)CCc1ccccc1,0.5,0.5,Negative,Positive,1,LT01657,3675,phenelzine,1961,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,N(N)CCc1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=afd48e96-a64e-4e5a-ba21-504a53855397,2,24.281515,1,1,0,0,2,0,6,0,22,2,4,10,8,29.087946,1.3221793,0,0,8,0,0,12,0,2,0,0,0,2.0467131,-2.5113692,-0.62697089,0.69211471,2.4321918,-2.770304,-0.53807992,0.68299741,2.4200647,-2.2321639,-0.49986199,0.78398293,2.7048862,11.798484,3,0.30000001,6,22,0,10,5,3,0.30000001,16,0,7.2342043,5.878315,4.8009648,5.5270977,4.9318519,3.4064655,2.7642369,3.7247448,0,0,0.65519267,7,0,-0.87479532,-0.39001775,0.079275936,2.1704993,-1.4442664,-0.26386139,0.16445385,2.2457187,-0.51042473,-0.21605732,0.19305076,2.4478788,8.1000004,4.7603307,3.1111112,6.2298064,3.5412848,2.2516572,2.2061517,2,3,1,0,0.89499998,-1.0912,4.269238,1,1,6,1,1,3,0,0,0,0.89109331,-0.89109331,0.15745756,0.30351213,30.253868,21.326929,25.857038,0,0,0,0,10.909853,61.274521,0,0,0,14.264937,0,0.9129588,0.52749294,0.087041222,0.087041222,0.47250709,0,149.62221,86.44931,14.264937,14.264937,77.437836,0,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,163.88715,0,0,0,163.88715,0,4,1,1,0,0,1,0.69237,50.662895,0,0,18.439579,3.185575,18.868406,0,88.215919,0,0,4.2336102,0,0,17.888229,3.185575,32.774666,107.08433,18.439579,0,38.049999,0.72192812,4.321928,2.5657051,6.2731547,163.88715,207.87473,0,0,0,0,117.35902,0,30.901993,136.198,133,9,42,0.27681124,0.041480083,0,0,0,0,0.1552415043121,1
15,OC(=O)C(C)c1cc(ccc1)C(=O)c1ccccc1,0.28,0.72000003,Positive,Positive,1,LT00023,3825,ketoprofen,1986,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,OC(=O)C(C)c1cc(ccc1)C(=O)c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c2c99853-1268-4998-a44b-2bf0c0b70fd2,2,39.23431,1,0,0,1,1,2,12,0,32,0,1,19,14,43.139397,1.3481061,0,0,16,0,0,13,0,0,3,0,0,1.8972659,-2.4560843,-0.62502551,0.64671397,2.424468,-2.451612,-0.51992434,0.7184391,2.5284414,-2.1756787,-0.47967759,0.82731092,2.7141323,17.085691,4,0.2,12,33,2,20,3,4,0.2,19,0,13.828063,10.498247,9.2735023,10.828063,9.0922241,5.9991236,5.3867512,7.3601732,1,1,0.72770739,10,-1,-0.84748334,-0.45985454,0.066900752,2.3865623,-1.4899316,-0.32548583,0.14711864,2.4940357,-0.5006237,-0.21064061,0.18675222,2.6914995,15.39,7.1358023,3.9861591,10.563126,4.7851486,2.6246386,2.6603227,3,0,1,0,3.714,-3.9507799,7.3594999,0,1,12,1,2,4,0,0,0,0.97921324,-1.9792132,0.19724651,0.27748603,36.187122,38.388474,0,8.458519,0,0,0,14.463444,116.78691,0,0,0,13.566921,27.133842,0.84037989,0.67435718,0.15962008,0.15962008,0.32564285,0,214.28447,171.95111,40.700764,40.700764,83.034119,0,0.5,1,0,0,0,0,1,0,0,0,1,0,254.98523,0,0,0,254.98523,0,5,1,2,0,0,1,1.771,42.683342,7.151619,23.862217,0,33.418941,0,4.4107962,158.78867,0,33.326015,6.9738498,90.407776,0,0,13.967521,0,158.78867,7.151619,33.326015,57.200001,0.5023343,5.321928,3.1098776,8.1981049,254.98523,348.04785,40.700764,27.133842,0,0,180.51906,23.167019,40.700764,253.27699,724,28,94,0.14535253,0.073310211,0,0,0,0,0.1099851317704,1
16,Clc1ccc(cc1)C(N1CCN(CC1)C)c1ccccc1,0.44,0.56,Positive,Positive,1,LT00066,2710,chlorcyclizine,,No-DILI-Concern,0,No match,Yes,vLess-DILI-Concern,Clc1ccc(cc1)C(N1CCN(CC1)C)c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d50b5154-20a3-4c5b-ad7b-08c081340b12,2,51.39624,0,0,1,2,0,0,12,2,44,0,0,21,19,59.114418,1.3435094,0,0,18,1,0,23,0,2,0,0,0,1.6776571,-2.8086069,-0.56189859,0.7005114,2.8236895,-3.6274149,-0.53807992,0.76312637,2.5106864,-2.6331968,-0.48259613,0.81802338,2.9872472,28.20376,3,0.13043478,12,46,0,23,3,3,0.13043478,34,0,14.656489,13.235824,11.10193,12.501789,10.237184,8.079236,5.309401,7.1161566,1,1,0.69452298,10,2,-0.88290548,-0.37619153,0.081042282,2.9044707,-2.2779262,-0.26386139,0.1641562,2.8023698,-0.64192176,-0.21605732,0.18142772,3.0887456,15.879017,7.5130072,4.0500002,13.428945,6.2972369,3.3713896,4.0269165,2,2,1,0,3.9809999,-3.75647,8.9945402,0,1,18,1,3,5,0,0,0,3.2100317,-1.2100317,0.10886697,0.27314889,8.9368258,108.54641,60.180645,0,0,0,17.238026,24.509808,115.36627,0,0,0,0,0,0.9485091,0.41781744,0,0.051490918,0.58218259,0.051490918,317.53998,139.87608,0,17.238026,194.9019,17.238026,0.5,1,0,0,0,0,1,0,0,0,1,0,334.77798,0,0,0,334.77798,0,5,0,3,0,0,0.2857143,0.93809998,6.2486277,0,0,73.758316,6.37115,32.897186,3.5006065,158.78867,3.9819686,39.148643,8.7165403,6.2486277,0,0,13.853725,0,158.78867,73.758316,72.04583,8.8800001,0.48250595,5.523562,3.051475,8.5176783,334.77798,436.05325,0,0,0,0,302.59225,0,0,302.849,896,31,108,0.033698298,0.12154321,0,0,0,0,0.4417072348293001,1
17,P(O)(O)(=O)COCCn1c2ncnc(N)c2nc1,0.23999999,0.75999999,Positive,Positive,1,LT01155,60871,adefovir,2002,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,P(OCOC(=O)C(C)(C)C)(OCOC(=O)C(C)(C)C)(=O)COCCn1c2ncnc(N)c2nc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a60adac4-57c2-4089-aefc-1a77a48676fc,2,33.08593,0,0,1,3,4,3,9,0,28,1,5,18,4,57.777016,2.0634649,0,0,8,0,0,10,0,5,4,1,0,1.71439,-2.5688543,-0.69844848,0.25742728,2.4620755,-2.5445895,-0.93869478,0.28379562,2.5207803,-2.2326975,-0.049600244,0.54321206,2.7533295,28.482071,5,0.2631579,10,29,0,19,6,5,0.2631579,19,0,13.173362,10.116859,4.776021,5.2675848,8.4721451,6.7013268,1,1.1666666,0,0,0.93032157,10,-2,-1.0362674,-0.56972039,-0.034607459,2.2975936,-1.349,-0.63986939,0.054200001,2.3526247,-0.51021338,-0.16,0.099434189,2.583827,14.409972,5.9698215,3.9958377,12.153434,4.9810596,3.3075354,3.3631654,9,2,1,0,-2.1589401,-0.71974999,6.3244462,1,1,10,1,2,5,1,0,0,1.8177463,-3.8177464,0.090813622,0.18294784,13.192325,53.249763,89.898415,11.190562,0,0,0,0,0,13.666999,0,17.047728,6.6511192,49.691166,0.71173036,0.34195241,0.28826964,0.28826964,0.65804756,0,181.19807,87.057014,73.390015,73.390015,167.53107,0,0.5,1,0,0,0,0,1,0,0,0,1,0,254.58807,0,0,0,254.58807,0,5,1,2,0,0,1,-2.5074999,100.19849,52.25568,10.999887,39.023354,0,0,0,37.430504,0,34.548656,5.76794,78.301186,52.25568,0,0,6.187367,84.907822,39.023354,13.781157,130.06,0.52150291,5.2479277,3.2005799,7.9980493,254.58807,291.48309,66.738892,47.187408,0,17.742489,72.63652,85.629158,84.481384,271.173,682,23,92,0.042261716,0.067723416,0,0,0,2,2.063740074634,1
18,O1c2c(C=CC1=O)cc1c(occ1)c2OC,0.33000001,0.67000002,Positive,Positive,1,LT01537,4114,methoxsalen,1954,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,O1c2c(C=CC1=O)cc1c(occ1)c2OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ae951dc4-9031-43bf-943c-cb2366951f23,2,29.662344,1,1,0,0,2,0,9,0,24,0,2,16,9,35.01955,1.4591479,0,0,12,0,0,8,0,0,4,0,0,1.8125348,-2.2640257,-0.58297443,0.66205931,2.3069074,-2.2546589,-0.49255499,0.75709707,2.4881234,-1.9745486,-0.39910007,0.87233293,2.6161528,15.451656,1,0.055555556,10,26,2,18,2,1,0.055555556,14,0,11.120955,8.5197449,6.8867512,7.9996357,7.7920251,4.7746134,3.1100423,4.3745747,0,0,0.80365056,7,0,-0.83368683,-0.45043853,0.088986933,2.3244441,-0.91159433,-0.32674012,0.16242869,2.4984424,-0.48317924,-0.20852642,0.23819247,2.624902,11.111111,4.3491125,1.8612126,7.9804444,3.0479052,1.2803974,1.5202274,4,0,1,0,2.434,-4.2667098,5.676712,0,1,15,1,3,1,0,0,0,1.4364365,-1.4364365,0.2030412,0.32040203,41.66964,48.362587,21.182425,8.458519,0,14.708499,0,36.764713,0,0,0,0,16.070677,5.0075121,0.81382877,0.30091316,0.10965398,0.18617125,0.69908684,0.076517269,156.43788,57.842899,21.07819,35.78669,134.38167,14.708499,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,192.22456,0,0,0,192.22456,0,4,0,3,0,0,1,2.3736,21.999775,7.7454643,23.862217,0,3.185575,44.891212,0,80.245155,17.643185,10.486856,5.7435002,33.369564,21.999775,0,13.672431,7.4091749,72.835983,25.388649,35.383869,48.669998,0.58587331,5.1699252,2.5818048,7.7347631,192.22456,269.01245,16.070677,0,0,0,120.22652,50.233006,16.070677,216.192,387,26,88,0.38232499,0.059382241,0,0,0,2,1.76627716422,1
19,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)CCO,0.56999999,0.43000001,Negative,Positive,1,LT01655,4748,perphenazine,1957,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)CCO,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0958af4c-87ef-41fd-90a1-ec3e57146945,2,64.812202,0,0,1,2,1,0,12,2,55,1,2,27,23,86.37529,1.5704598,0,0,21,1,0,28,0,3,1,0,1,1.3003089,-2.8291903,-0.55195987,0.71370584,2.8385446,-3.6472082,-0.6165542,0.66710514,2.6000755,-2.6513698,-0.46729079,0.84629393,3.0038733,37.929794,6,0.2,12,58,0,30,5,6,0.2,46,0,18.639618,17.158478,12.905413,14.200459,13.241515,11.058065,6.0653839,7.6161566,0,0,0.74596596,14,2,-0.88469028,-0.36366105,0.073511101,2.9389975,-2.2815912,-0.35847494,0.15813136,2.873461,-0.64187187,-0.20940231,0.20159207,3.1366627,20.280001,9.6668653,4.9507437,18.543015,8.8072004,4.498476,6.048594,4,3,1,0,3.4549999,-4.3695598,11.455856,0,1,22,1,4,8,0,0,0,3.7765269,-1.7765269,0.092349239,0.21920177,65.243233,117.71672,65.961624,0,10.324173,0,17.238026,61.274521,73.852371,0,0,0,0,7.7675405,0.91575688,0.34072927,0.018521564,0.084243141,0.6592707,0.065721579,384.04846,142.89444,7.7675405,35.329739,276.4838,27.562199,0.5,1,0,0,0,0,1,0,0,0,1,0,419.3782,0,0,0,419.3782,0,7,0,4,0,0,1,1.1085,34.758167,0,0,150.00331,0,3.1014678,3.5006065,123.50229,18.868406,76.881683,11.18542,6.2486277,25.385227,6.2257819,3.5006065,5.513495,142.3707,150.00331,71.368187,32.349998,0.41024774,5.9068904,3.6134136,9.197422,419.3782,544.25269,0,0,0,0,366.2536,0,13.566921,405.99399,2000,43,142,0.84429395,0.91944611,0.30000001,0,0,1,1.211646616459,1
20,O(CCNCC(O)COc1c2c3c([nH]c2ccc1)cccc3)c1ccccc1OC,0.69,0.31,Negative,Positive,1,LT00207,2585,carvedilol,1995,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,O(CCNCC(O)COc1c2c3c([nH]c2ccc1)cccc3)c1ccccc1OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2ba6d893-ae2a-4535-b904-667d206f93af,2,65.651413,0,0,2,3,4,0,19,1,57,2,6,30,24,84.053665,1.4746257,0,0,24,0,0,27,0,2,4,0,0,1.1163772,-2.6380625,-0.57992977,0.62773126,2.6629472,-3.4141266,-0.54911166,0.73537427,2.4603198,-2.4577868,-0.42218477,0.78838652,2.8323288,35.924587,10,0.30303031,21,60,0,33,7,10,0.30303031,39,0,20.760939,17.005939,14.25663,16.225405,14.758351,10.13788,6.9652143,9.4326534,1,1,0.7168293,17,1,-0.86567605,-0.38441488,0.084842794,2.6788421,-2.2478263,-0.34115547,0.14870119,2.7319598,-0.6360029,-0.21030511,0.17043352,2.9300575,23.168043,11.743802,6.0810113,17.71376,8.8902969,4.5711389,5.2493534,6,4,1,0,3.97474,-5.0069499,11.797182,1,1,21,1,4,10,0,0,0,3.6191196,-2.6191196,0.09582103,0.14656031,42.813839,121.51369,63.157909,8.6190128,10.324173,0,17.238026,61.274521,73.529427,0,0,0,0,15.4157,0.89616013,0.36294907,0.03724622,0.10383987,0.63705093,0.066593647,370.90839,150.21965,15.4157,42.977898,263.66666,27.562199,0.47058824,0.8888889,0,0,0,0,1,0,0,0,1,0,413.88629,0,0,0,413.88629,0,9,0,4,0,0,1,2.7118001,76.395638,0,23.254179,78.731674,0,35.383869,0,203.50923,0,15.730285,11.74549,0,76.395638,16.78553,22.198933,9.4342031,194.07503,78.731674,35.383869,80.32,0.37824166,6.044394,3.9227822,9.4690714,413.88629,568.46167,7.5112681,0,5.6825762,11.365152,345.91809,0,32.44334,407.48999,3062,45,154,0.2327511,0.63352609,0.89999998,0,0,2,1.666145712137,1
21,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(cc1)CCNC(=O)c1ncc(nc1)C,0.25999999,0.74000001,Positive,Positive,1,LT00243,3478,glipizide,1984,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(cc1)CCNC(=O)c1ncc(nc1)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=06505b04-656c-47ef-83ba-ab977bdcaaf4,2,65.904617,0,0,1,3,3,4,12,0,57,2,5,31,19,98.414993,1.7265788,0,0,21,0,0,26,0,5,4,0,1,1.3060586,-2.8192999,-0.5710929,0.52279061,2.7024417,-2.7639015,-0.48222935,0.62853289,2.8323236,-2.5283875,-0.4003965,0.7068975,2.9853089,42.095383,7,0.21212122,12,59,2,33,4,10,0.30303031,45,0,22.269375,18.190578,12.991199,14.23384,14.831337,11.716558,6.8187675,8.084918,0,0,0.78470051,20,-1,-0.98723453,-0.43198791,0.0088817179,2.6089554,-1.1611644,-0.37846896,0.14298536,2.6820068,-0.52659953,-0.21572059,0.17534602,2.8891361,25.619835,12.459259,8.3730869,20.701473,9.9917259,6.677804,6.6723685,9,2,1,0,1.50253,-3.07234,11.883549,0,1,18,1,3,8,1,0,0,2.2136304,-3.2136304,0.13048527,0.1934247,131.22499,59.143391,6.6995511,8.6190128,0,17.134132,0,80.226891,54.727734,0,32.016521,5.6825762,19.249496,13.840703,0.86954862,0.48007634,0.090471163,0.13045141,0.51992363,0.03998024,372.65811,205.74393,38.772778,55.90691,222.82109,17.134132,0.5,1,0,0,0,0,1,0,0,0,1,0,428.565,0,0,0,428.565,0,10,0,3,0,0,1,2.86219,36.0215,91.83149,10.622711,18.439579,32.561287,20.41914,0,121.40645,94.342026,57.188232,11.51977,95.896118,33.57106,53.977234,12.681039,0,218.21188,28.528318,39.966759,118.12,0.36097246,6.044394,4.059814,9.5601654,428.565,566.50403,78.590721,53.658649,0,11.365152,274.8837,40.495682,89.955879,444.53598,3430,44,156,0.37502331,0.37529111,0,1,0,0,0.7389742434023001,1
