SMILES,Drug_Name,IsDILI
Cl[C@@]12C(C3CC(C)[C@](OC(=O)c4occc4)(C(=O)CCl)[C@]3(CC1O)C)CCC1=CC(=O)C=C[C@@]12C,Mometasone Furoate,0.0
Cl[C@H]1[C@@H]2[C@@H]([C@]3(C(=CC(=O)C=C3)C1)C)[C@@H](O)C[C@@]1([C@@H]2C[C@H](C)[C@]1(O)C(=O)CO)C,Alclometasone,0.0
Cl\C(\Cl)=C\C1C(C)(C)C1C(OCc1cc(Oc2ccccc2)ccc1)=O,Permethrin ,0.0
Cl\C(\Cl)=C\Cl,Trichloroethylene,1.0
Clc1c(Cl)c(OCC(O)=O)ccc1C(=O)C(CC)=C,Etacrynic Acid,0.0
Clc1c(Cl)c(OCC(O)=O)ccc1C(=O)c1sccc1,Ticrynafen,1.0
Clc1c(N2CCN(CC2)CCCCOc2cc3NC(=O)CCc3cc2)cccc1Cl,Aripiprazole,0.0
Clc1c(NC(=O)C(O)=O)cc(cc1NC(=O)C(O)=O)C#N,Lodoxamide,0.0
Clc1c(Nc2ccccc2C(O)=O)c(Cl)ccc1C,Meclofenamic acid,0.0
Clc1c(OCC(O)=O)cc2c(C(=O)C(C2)(C)c2ccccc2)c1Cl,Indacrinone,1.0
Clc1c(cccc1Cl)-c1nnc(nc1N)N,Lamotrigine,1.0
Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,Felodipine,0.0
Clc1c(noc1NS(=O)(=O)c1ccsc1C(=O)Cc1cc2OCOc2cc1C)C,Sitaxentan,1.0
Clc1c2CN3CC(=O)NC3=Nc2ccc1Cl,Anagrelide,0.0
Clc1c2O[C@]3(C(CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,Griseofulvin,1.0
Clc1c2Oc3cc4C(NC(=O)C(NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)CC(=O)N)C(=O)NC1c2cc(-c5c(cc(O)cc5O)C(NC(=O)C(NC1=O)C(O)c1cc(Cl)c(Oc(c4)c3OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)[C@@](N)(C3)C)cc1)C(O)=O)c(O)cc2,Vancomycin,1.0
Clc1c2c(C(=O)C=3C(CC4[C@@](O)(C(=O)C(C(=O)N)=C(O)C4N(C)C)C=3O)C2O)c(O)cc1,Demeclocycline,1.0
Clc1c2c(cc(O)c1O)C(CNCC2)c1ccc(O)cc1,Fenoldopam,0.0
Clc1cc(C(=O)NC2CCN(CC2OC)CCCOc2ccc(F)cc2)c(OC)cc1N,Cisapride ,0.0
Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,Metoclopramide,1.0
Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1,Glyburide,1.0
Clc1cc(Cl)cc(Sc2cc(Cl)cc(Cl)c2O)c1O,Bithionol,1.0
Clc1cc(Cl)ccc1C(OCc1ccc(Cl)cc1)Cn1ccnc1,Econazole ,0.0
Clc1cc(Cl)ccc1C(OCc1ccc(Cl)cc1Cl)Cn1ccnc1,Miconazole,0.0
Clc1cc(Cl)ccc1C(SCc1ccc(Cl)cc1)Cn1ccnc1,Sulconazole ,0.0
Clc1cc(Cl)ccc1C1(OC(CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,Ketoconazole ,1.0
Clc1cc(Cl)ccc1CO\N=C(\Cn1ccnc1)/c1ccc(Cl)cc1Cl,Oxiconazole ,0.0
Clc1cc(Cl)ccc1[C@@]1(OC(CO1)COc1ccc(N2CCN(CC2)C(C)C)cc1)Cn1ncnc1,Terconazole,0.0
Clc1cc(Cl)ccc1[C@@]1(OC(CO1)COc1ccc(N2CCN(CC2)c2ccc(N3C=NN(C(CC)C)C3=O)cc2)cc1)Cn1ncnc1,Itraconazole,1.0
Clc1cc(Cl)ccc1[C@H](OCc1ccsc1Cl)Cn1ccnc1,Tioconazole,0.0
Clc1cc(N)cc(Cl)c1\N=C/1\NCCN\1,Apraclonidine,0.0
Clc1cc(N)ccc1C(OCCN(CC)CC)=O,Chloroprocaine,0.0
Clc1cc(N2CCN(CC2)CCCN2N=C(N(CCOc3ccccc3)C2=O)CC)ccc1,Nefazodone,1.0
Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,Trazodone,1.0
Clc1cc(NCc2occc2)c(cc1S(=O)(=O)N)C(O)=O,Furosemide,1.0
Clc1cc(Nc2ncnc3c2cc(OCCCN2CCOCC2)c(OC)c3)ccc1F,Gefitinib,1.0
Clc1cc(Nc2ncnc3c2cc(cc3)-c2oc(cc2)CNCCS(=O)(=O)C)ccc1OCc1cc(F)ccc1,Lapatinib,1.0
Clc1cc(ccc1)C(=O)C(NC(C)(C)C)C,Bupropion,1.0
Clc1cc(ccc1Cl)C1CCC(NC)c2c1cccc2,Sertraline,1.0
Clc1cc(ccc1N1CC=CC1)C(C(O)=O)C,Pirprofen,1.0
Clc1cc(ccc1OCC=C)CC(O)=O,Alclofenac,1.0
Clc1cc2N(C(=O)CC(=O)N(c2cc1)C)c1ccccc1,Clobazam,1.0
Clc1cc2N(c3c(CCc2cc1)cccc3)CCCN(C)C,Clomipramine,1.0
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,Chlorpromazine,1.0
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCC(CC1)C(=O)N,Pipamazine,1.0
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)C,Prochlorperazine,1.0
Clc1cc2N=C(N3CCN(CC3)C)c3c(Nc2cc1)cccc3,Clozapine,1.0
Clc1cc2N=CNS(=O)(=O)c2cc1S(=O)(=O)N,Chlorothiazide,0.0
Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2c1cccc2,Ziprasidone,0.0
Clc1cc2NC(N(S(=O)(=O)c2cc1S(=O)(=O)N)C)CCl,Methyclothiazide,0.0
Clc1cc2NC(N(S(=O)(=O)c2cc1S(=O)(=O)N)C)CSCC(F)(F)F,Polythiazide,0.0
Clc1cc2NC(N(c3ccccc3C)C(=O)c2cc1S(=O)(=O)N)C,Metolazone,1.0
Clc1cc2NC(Oc2cc1)=O,Chlorzoxazone,1.0
Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,Hydrochlorothiazide,1.0
Clc1cc2S(=O)(=O)N(c3c(cccc3)C(NCCCCCCC(O)=O)c2cc1)C,Tianeptine,1.0
Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3C)cc1,Midazolam,0.0
Clc1cc2c(-n3c(nnc3)CN=C2c2ccccc2)cc1,Estazolam,0.0
Clc1cc2c(N(C)C(=O)C(O)N=C2c2ccccc2)cc1,Temazepam,0.0
Clc1cc2c(N(CC(F)(F)F)C(=O)CN=C2c2ccccc2)cc1,Halazepam,0.0
Clc1cc2c(N(CC(F)(F)F)C(=S)CN=C2c2ccccc2F)cc1,Quazepam,0.0
Clc1cc2c(N(CCN(CC)CC)C(=O)CN=C2c2ccccc2F)cc1,Flurazepam,0.0
Clc1cc2c(NC(O[C@]2(C#CC2CC2)C(F)(F)F)=O)cc1,Efavirenz,1.0
Clc1cc2c(Oc3c(N=C2N2CCN(CC2)C)cccc3)cc1,Loxapine,1.0
Clc1cc2c(Oc3c(N=C2N2CCNCC2)cccc3)cc1,Amoxapine,0.0
Clc1cc2c(cc1)\C(\c1ncccc1CC2)=C\1/CCNCC/1,Desloratadine,1.0
Clc1cc2nc(ccc2cc1)\C=C\c1cc(ccc1)C(SCC1(CC1)CC(O)=O)CCc1ccccc1C(O)(C)C,Montelukast,1.0
Clc1cc2nc3c(cc(OC)cc3)c(N[C@H](CCCN(CC)CC)C)c2cc1,Mepacrine (Quinacrine),1.0
Clc1cc2nccc(NC(CCCN(CC)CC)C)c2cc1,Chloroquine,1.0
Clc1cc2nccc(NC(CCCN(CCO)CC)C)c2cc1,Hydroxychloroquine,0.0
Clc1cc2nccc(Nc3cc(CN(CC)CC)c(O)cc3)c2cc1,Amodiaquin,1.0
Clc1cc2nccc(Nc3ccccc3C(OCC(O)CO)=O)c2cc1,Glafenine,1.0
Clc1ccc(N2C3=C\C(=N/C(C)C)\C(Nc4ccc(Cl)cc4)=CC3=Nc3c2cccc3)cc1,Clofazimine,1.0
Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)cc1C(F)(F)F,Sorafenib,1.0
Clc1ccc(NC(NC(NC(C)C)=N)=N)cc1,Proguanil,1.0
Clc1ccc(NC(NC(NCCCCCCNC(NC(Nc2ccc(Cl)cc2)=N)=N)=N)=N)cc1,Chlorhexidine,0.0
Clc1ccc(OC(C(OCC)=O)(C)C)cc1,Clofibrate,1.0
Clc1ccc(OCC(=O)N2CCN(CC2)Cc2cc3OCOc3cc2)cc1,Fipexide,1.0
Clc1ccc(S(=O)(=O)NC(=O)NCCC)cc1,Chlorpropamide,1.0
Clc1ccc(SC(P(O)(O)=O)P(O)(O)=O)cc1,Tiludronic acid,0.0
Clc1ccc(cc1)-c1c(nc(nc1N)N)CC,Pyrimethamine,1.0
Clc1ccc(cc1)-c1oc2c(n1)cc(cc2)C(C(O)=O)C,Benoxaprofen,1.0
Clc1ccc(cc1)-c1scc(n1)CC(O)=O,Fenclozic acid,1.0
Clc1ccc(cc1)C(=O)NCCc1ccc(OC(C(O)=O)(C)C)cc1,Bezafibrate,1.0
Clc1ccc(cc1)C(=O)c1c2c(n(CC(O)=O)c1C)cc(OC)cc2,Clometacin,1.0
Clc1ccc(cc1)C(=O)c1ccc(OC(C(OC(C)C)=O)(C)C)cc1,Fenofibrate,1.0
Clc1ccc(cc1)C(=O)c1n(C)c(cc1C)CC(O)=O,Zomepirac,0.0
Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,Indometacin,1.0
Clc1ccc(cc1)C(CC(O)=O)CN,Baclofen,0.0
Clc1ccc(cc1)C(CCN(C)C)c1ncccc1,Chlorpheniramine,1.0
Clc1ccc(cc1)C(N1CCN(CC1)CCOCC(O)=O)c1ccccc1,Cetirizine,1.0
Clc1ccc(cc1)C(N1CCN(CC1)CCOCCO)c1ccccc1,Hydroxyzine,0.0
Clc1ccc(cc1)C(N1CCN(CC1)Cc1cc(ccc1)C)c1ccccc1,Meclizine,0.0
Clc1ccc(cc1)C(OCCN(C)C)c1ncccc1,Carbinoxamine,0.0
Clc1ccc(cc1)C1(CCC1)C(N(C)C)CC(C)C,Sibutramine,1.0
Clc1ccc(cc1)C1(O)CCN(CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,Loperamide,0.0
Clc1ccc(cc1)C1S(=O)(=O)CCC(=O)N1C,Chlormezanone ,1.0
Clc1ccc(cc1)CC1=NN(C2CCCN(CC2)C)C(=O)c2c1cccc2,Azelastine ,0.0
Clc1ccc(cc1)[C@@](OCCC1N(CCC1)C)(C)c1ccccc1,Clemastine,0.0
Clc1ccc(cc1S(=O)(=O)N)C(=O)NN1c2c(CC1C)cccc2,Indapamide,1.0
Clc1ccc(cc1S(=O)(=O)N)C1(O)NC(=O)c2c1cccc2,Chlorthalidone,1.0
Clc1ccc2nsnc2c1NC=1NCCN=1,Tizanidine,1.0
Clc1cccc(C)c1NC(=O)c1sc(nc1)Nc1nc(nc(N2CCN(CC2)CCO)c1)C,Dasatinib,1.0
Clc1cccc(Cl)c1-c1noc(C)c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O,Dicloxacillin,1.0
Clc1cccc(Cl)c1CC(=O)\N=C(\N)/N,Guanfacine,0.0
Clc1cccc(Cl)c1NC=1NCCN=1,Clonidine,1.0
Clc1cccc(Cl)c1Nc1ccccc1CC(O)=O,Diclofenac,1.0
Clc1cccc(Cl)c1SC(CCc1ccc(Cl)cc1)Cn1ccnc1,Butoconazole ,0.0
Clc1cccc(Cl)c1\C=N\NC(N)=N,Guanabenz,0.0
Clc1cccc(F)c1Nc1ccc(cc1CC(O)=O)C,Lumiracoxib,1.0
Clc1ccccc1-c1noc(C)c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O,Cloxacillin Sodium,1.0
Clc1ccccc1C(C(Cl)Cl)c1ccc(Cl)cc1,Mitotane,1.0
Clc1ccccc1C(n1ccnc1)(c1ccccc1)c1ccccc1,Clotrimazole,0.0
Clc1ccccc1C1(NC)CCCCC1=O,Ketamine,0.0
Clc1ccccc1C1=NC(O)C(=O)Nc2c1cc(Cl)cc2,Lorazepam,0.0
Clc1ccccc1C1=NCC(=O)N(c2sc(cc12)CC)C,Clotiazepam,1.0
Clc1ccccc1C1=NCC(=O)Nc2c1cc([N+](=O)[O-])cc2,Clonazepam,0.0
Clc1ccccc1C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN,Amlodipine,0.0
Clc1ccccc1C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@@H]1CCN(C[C@@H]1O)C,Alvocidib (Flavopirirdol),0.0
Clc1ccccc1CN1CCc2sccc2C1,Ticlopidine,1.0
Clc1ccccc1[C@H](N1CCc2sccc2C1)C(OC)=O,Clopidogrel,1.0
Clc1nc(N)c2ncn(c2n1)C1OC(CO)C(O)C1,Cladribine ,0.0
Clc1nc(N)c2ncn(c2n1)C1OC(CO)C(O)[C@@H]1F,Clofarabine,1.0
Clc1nc(n(Cc2ccc(cc2)-c2ccccc2-c2nn[nH]n2)c1CO)CCCC,Losartan,1.0
Clc1sc2c(S(=O)(=O)N(C)C(C(=O)Nc3ncccc3)=C2O)c1,Lornoxicam,1.0
FC(F)(F)C(=O)NC1CC(OC(C)C1O)OC1c2c(C[C@](O)(C1)C(=O)COC(=O)CCCC)c(O)c1c(C(=O)c3c(cccc3OC)C1=O)c2O,Valrubicin,0.0
FC(F)(F)C(OCF)C(F)(F)F,Sevoflurane,1.0
FC(F)(F)C1=CN(C2OC(CO)C(O)C2)C(=O)NC1=O,Trifluridine ,0.0
FC(F)(F)COc1ccc(OCC(F)(F)F)cc1C(=O)NCC1NCCCC1,Flecainide,1.0
FC(F)(F)COc1ccccc1OCCN[C@@H](Cc1cc(c2N(CCc2c1)CCCO)C(=O)N)C,Silodosin,1.0
FC(F)(F)c1cc(N2C(=O)C(NC2=O)(C)C)ccc1[N+](=O)[O-],Nilutamide,1.0
FC(F)(F)c1cc(NC(=O)C(C)C)ccc1[N+](=O)[O-],Flutamide,1.0
FC(F)(F)c1cc(NC(=O)c2cc(Nc3nc(ccn3)-c3cccnc3)c(cc2)C)cc(-n2cc(nc2)C)c1,Nilotinib,1.0
FC(F)(F)c1cc(OCC(O)\C=C\C2C(C\C=C/CCCC(OC(C)C)=O)C(O)CC2O)ccc1,Travoprost,0.0
FC(F)(F)c1cc(ccc1)CCCNC(C)c1c2c(ccc1)cccc2,Cinacalcet,0.0
FC(F)(F)c1cc(ccc1)C[C@@H](NCC)C,Fenfluramine,0.0
FC(F)(F)c1ccc(NC(=O)c2cnoc2C)cc1,Leflunomide,1.0
FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,Fluoxetine,1.0
FC(F)(F)c1ccc(cc1)/C(=N/OCCN)/CCCCOC,Fluvoxamine,1.0
FC(F)(F)c1ccc(cc1NC(=O)C1CCC2C3C(CC[C@]12C)[C@@]1(C(NC(=O)C=C1)CC3)C)C(F)(F)F,Dutasteride,0.0
FC(OC(F)F)C(F)(F)F,Desflurane,0.0
FC1(F)CCC(CC1)C(=O)NC(CCN1C2CC(n3c(nnc3C)C(C)C)CC1CC2)c1ccccc1,Maraviroc,1.0
FC1=CN(C2OC(C)C(O)C2O)C(=O)N=C1NC(OCCCCC)=O,Capecitabine,1.0
FC1=CN(C2OC(CO)C(O)C2)C(=O)NC1=O,5-fluoro-2'-deoxyuridine,1.0
FC1=CN([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C(=O)NC1=O,Doxifluridine,1.0
FC1=CNC(=O)N=C1N,Flucytosine,1.0
FC1=CNC(=O)NC1=O,Fluorouracil,1.0
FC1C2=CC(=O)C=C[C@@]2(C2C(C1)C1CC3OC(O[C@@]3(C(=O)CO)[C@]1(CC2O)C)(C)C)C,Flunisolide,0.0
FC1C2=CC(=O)C=C[C@]2(C)[C@]2(F)C(C1)C1CC3OC(O[C@@]3(C(=O)COC(=O)C)[C@]1(CC2O)C)(C)C,Fluocinonide,0.0
F[C@@]12C(C3CC(C)[C@](O)(C(=O)CO)[C@]3(CC1O)C)CCC1=CC(=O)C=C[C@@]12C,Dexamethasone,0.0
F[C@@]12C(C3CC(O)[C@](O)(C(=O)CO)[C@]3(CC1O)C)CCC1=CC(=O)C=C[C@@]12C,Triamcinolone,0.0
F[C@@]12C(C3CC4OC5(O[C@@]4(C(=O)COC(=O)C)[C@]3(CC1O)C)CCCC5)CCC1=CC(=O)C=C[C@@]12C,Amcinonide,0.0
F[C@@]12C(C3CC[C@@](O)(C)[C@]3(CC1O)C)CCC1=CC(=O)CC[C@@]12C,Fluoxymesterone,1.0
F[C@@]12C(C3CC[C@](O)(C(=O)CO)[C@]3(CC1O)C)CCC1=CC(=O)CC[C@@]12C,Fludrocortisone,0.0
F[C@@]12C(C3CC[C@](O)(C(=O)COC(=O)C)[C@]3(CC1O)C)CCC1=CC(=O)CC[C@@]12C,Fludrocortisone Acetate,0.0
F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Desoximetasone,0.0
F[C@]12C(CC(C3=CC(=O)C=C[C@]13C)C)C1CC[C@](O)(C(=O)C)[C@]1(CC2O)C,Fluorometholone,0.0
Fc1c(N2C[C@H](N[C@H](C2)C)C)c(F)c2N(C=C(C(O)=O)C(=O)c2c1N)C1CC1,Sparfloxacin,1.0
Fc1c(c2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(NCC1)C)C,Grepafloxacin,1.0
Fc1c2N(C=C(C(O)=O)C(=O)c2cc(F)c1N1CC(NCC1)C)CC,Lomefloxacin ,0.0
Fc1cc(F)ccc1-c1cc(C(O)=O)c(O)cc1,Diflunisal,1.0
Fc1cc(F)ccc1C(O)(Cn1ncnc1)Cn1ncnc1,Fluconazole,1.0
Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NCC3)C)cc12,Temafloxacin,1.0
Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(nc12)N1CC2C(C1)C2N,Trovafloxacin,1.0
Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(nc12)N1CC2C(C1)C2NC(=O)C(NC(=O)C(N)C)C,Alatrofloxacin mesylate,1.0
Fc1cc(F)ccc1[C@@]1(OCC(C1)COc1ccc(N2CCN(CC2)c2ccc(N3C=NN(C(C(O)C)CC)C3=O)cc2)cc1)Cn1ncnc1,Posaconazole,1.0
Fc1cc(F)ccc1[C@](O)([C@@H](C)c1ncncc1F)Cn1ncnc1,Voriconazole,1.0
Fc1cc(N2CC(OC2=O)CNC(=O)C)ccc1N1CCOCC1,Linezolid,1.0
Fc1cc(ccc1-c1ccccc1)C(C(O)=O)C,Flurbiprofen ,1.0
Fc1cc2CCC(Oc2cc1)C(O)CNCC(O)C1Oc2c(cc(F)cc2)CC1,Nebivolol,0.0
Fc1cc2c(-n3c(CN(C)C2=O)c(nc3)C(OCC)=O)cc1,Flumazenil,0.0
Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(OC)c1N1CC2C(NCCC2)C1,Moxifloxacin,1.0
Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CCNCC1,Ciprofloxacin,1.0
Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCNCC1,Norfloxacin,1.0
Fc1cc2c(cc1)C(C(C)C)[C@](OC(=O)COC)(CC2)CCN(CCCc1[nH]c2c(n1)cccc2)C,Mibefradil,0.0
Fc1cc2c(nc1N1CC(CN)/C(=N/OC)/C1)N(C=C(C(O)=O)C2=O)C1CC1,Gemifloxacin,1.0
Fc1cc2c3N(C=C(C(O)=O)C2=O)C(COc3c1N1CCN(CC1)C)C,Levofloxacin,1.0
Fc1cc2onc(c2cc1)C1CCN(CC1)CCC=1C(=O)N2C(=NC=1C)CCCC2,Risperidone,1.0
Fc1cc\2c(NC(=O)/C/2=C\c2[nH]c(C)c(C(=O)NCCN(CC)CC)c2C)cc1,Sunitinib,1.0
Fc1ccc(cc1)-c1c(COC)c(nc(C(C)C)c1\C=C\C(O)CC(O)CC(O)=O)C(C)C,Cerivastatin,1.0
Fc1ccc(cc1)-c1c2c(n(C(C)C)c1\C=C\C(O)CC(O)CC(O)=O)cccc2,Fluvastatin,1.0
Fc1ccc(cc1)-c1c2c(nc(C3CC3)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)cccc2,Pitavastatin,1.0
Fc1ccc(cc1)-c1n(CCC(O)CC(O)CC(O)=O)c(C(C)C)c(C(=O)Nc2ccccc2)c1-c1ccccc1,Atorvastatin ,1.0
Fc1ccc(cc1)C(=O)CCCN1CCC(N2c3c(NC2=O)cccc3)=CC1,Droperidol,0.0
Fc1ccc(cc1)C(CCCN1CCC(N2c3c(NC2=O)cccc3)CC1)c1ccc(F)cc1,Pimozide,0.0
Fc1ccc(cc1)C(CCCN1CCC2(N(CNC2=O)c2ccccc2)CC1)c1ccc(F)cc1,Fluspirilene,1.0
Fc1ccc(cc1)C(O)CCC1C(N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1,Ezetimibe,1.0
Fc1ccc(cc1)C1(CCC(N2CC(C)[C@@](CC2)(C(O)=O)c2ccccc2)CC1)C#N,Levocabastine,0.0
Fc1ccc(cc1)C1(OCc2c1ccc(c2)C#N)CCCN(C)C,Citalopram,1.0
Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,Paroxetine,1.0
Fc1ccc(cc1)Cn1c2c(nc1NC1CCN(CC1)CCc1ccc(OC)cc1)cccc2,Astemizole,0.0
IC1=CN(C2OC(CO)C(O)C2F)C(=O)NC1=O,Fialuridine,1.0
Ic1c(C(=O)N(CC(O)CO)C)c(I)c(NC(=O)COC)c(I)c1C(=O)NCC(O)CO,Iopromide ,0.0
Ic1c(C(=O)NC(CO)CO)c(I)c(NC(=O)C(O)C)c(I)c1C(=O)NC(CO)CO,Iopamidol (Iomapidol),0.0
Ic1c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(O)=O)c2I)c(I)c(N(C(=O)C)C)c(I)c1C(=O)NC,Ioxaglate,0.0
Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)C)CC(O)CN(C(=O)C)c2c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c2I)c(I)c1C(=O)NCC(O)CO,Iodixanol ,0.0
Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)C)CC(O)CO)c(I)c1C(=O)NCC(O)CO,Iohexol ,0.0
