Index,mol_min,Drug_Name,Zhu_2_class,Source_Zhu,Fourches_2_class,Source_Fourches,LiuR_3_class,LiuR_2_class,Source_LiuR,Source_LiuZ_PLOS_SIDER,LiuZ_SIDER_Combined_Scores,LiuZ_SIDER_2_class,LiuZ_Pfizer_2_class,Source_LiuZ_Pfizer,LiuZ_OBrien_3_class,LiuZ_OBrien_2_class,Source_LiuZ_OBrien,Ekins_2_class,Source_Ekins,Rodgers_Activity,Rodgers_2_class,Source_Rodgers,DILI_3class_Chen,DILI_2class_Chen,Source_Chen,Sum_Score_DILI,Sources_total,DILI_Characterization,DILI_Total_2_class,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCB1_Inhib,BSEP_Inhib,OATP1B1_Sum_Binary,OATP1B3_Sum_Binary,Binary_Characterization
92,Clc1c(Nc2ccccc2C(O)=O)c(Cl)ccc1C,Meclofenamic acid,0,Zhu Calibration,,,,,,LiuZ_PLOS_SIDER,1,0,1,LiuZ_Pfizer,,,,1,Ekins,I ,0,Rodgers,,,,2/5,Zhu  LiuZ_SIDER  LiuZ_Pfizer  Ekins  Rodgers,Negative,0,39.038723,0,0,1,1,2,0,12,0,30,3,5,19,15,51.850002,1.7283334,0,0,14,2,0,11,0,1,2,0,0,2.0172591,-2.3190198,-0.61289638,0.64841354,2.2886481,-2.2110872,-0.46271181,0.78272825,2.4805098,-1.9939626,-0.40965176,0.84564668,2.6312542,14.483277,3,0.15000001,12,31,1,20,2,3,0.15000001,18,0,13.991199,11.58735,7.9641018,9.2840929,9.0029078,6.2996583,4.2380338,5.8770099,0,0,0.84469801,8,0,-0.79140955,-0.42043331,0.089093491,2.3407919,-0.89542359,-0.25308463,0.24359867,2.527513,-0.47879535,-0.20165528,0.27986431,2.6656604,15.39,6.6352043,3.5555556,13.121948,5.6040092,2.9808435,3.8702905,3,2,1,0,4.4390001,-4.6036501,7.6938066,0,1,12,1,2,3,1,3.2179999,-3.2179999,1.3834652,-1.3834652,0.21161535,0.23668917,19.495708,43.539898,8.6190128,0,10.324173,14.708499,0,57.720928,95.928604,0,0,0,13.703812,7.7675405,0.82890868,0.64428115,0.078994505,0.17109133,0.35571885,0.092096828,225.30415,175.12088,21.471352,46.504025,96.687294,25.032671,0.5,1,3.2179999,-3.2179999,0.19701678,0.20198882,0.79719877,0.57530725,0.078994505,0.20280124,0.42469278,0.12380674,216.68515,156.37321,21.471352,55.123035,115.43497,33.651684,4,0,2,0.19701678,0.20198882,1,4.7436199,0,25.756214,0,25.385227,30.233366,0,7.0012131,105.85911,0,117.1368,7.7883,23.862217,0,25.385227,13.372363,23.524246,105.85911,7.7454643,111.62331,49.330002,0.5023343,5.321928,2.9083142,8.2244778,271.80817,350.6022,0,0,0,5.6825762,210.27899,14.708499,32.816418,296.15298,682,30,96,0.4280504,0.054387897,0.0,0,0,0
93,Clc1c(OCC(O)=O)cc2c(C(=O)C(C2)(C)c2ccccc2)c1Cl,Indacrinone,,,,,,,,,,,1,LiuZ_Pfizer,,,,1,Ekins,,,,,,,2/2,LiuZ_Pfizer  Ekins,Positive,1,48.583103,0,0,3,4,4,0,12,0,38,2,6,24,18,61.059628,1.6068323,0,0,18,2,0,14,0,0,4,0,0,1.7402196,-2.5221474,-0.58682483,0.56792617,2.6486127,-2.5325809,-0.48073426,0.77166253,2.6562338,-2.2735524,-0.37383369,0.8248359,2.916296,19.976898,4,0.15384616,12,40,2,26,3,4,0.15384616,26,0,17.482763,14.318061,10.378315,11.775657,11.34206,8.0572414,5.7986941,7.54706,1,1,0.84937775,12,0,-0.75714236,-0.40187719,0.072694607,2.6646886,-0.94297254,-0.29124689,0.16368458,2.7618423,-0.5081895,-0.20704332,0.21922554,2.9490738,18.781065,7.3188691,3.4855967,15.924191,6.1585059,2.9169464,4.0862179,4,1,1,0,4.954,-5.2941599,9.2524452,0,1,16,1,3,4,0,3.6930001,-3.6949999,1.8269424,-1.8269424,0.1565858,0.1823778,23.535469,51.621101,14.951293,8.458519,10.324173,14.708499,0,44.120975,120.43842,0,0,0,27.133842,10.271297,0.80821621,0.62035358,0.1148935,0.19178377,0.37964645,0.076890267,263.12576,201.96452,37.40514,62.437809,123.59905,25.032671,0.5,1,3.6930001,-3.6949999,0.17844571,0.17591339,0.73631072,0.53604132,0.1148935,0.26368928,0.46395868,0.14879577,239.71596,174.51553,37.40514,85.847626,151.04805,48.442486,6,1,3,0.17844571,0.17591339,0.41666666,4.15347,10.999887,13.433075,23.862217,46.311485,33.418941,18.868406,7.0012131,105.85911,0,116.86673,9.1421299,47.724434,10.999887,25.385227,21.801367,0,124.72751,34.359333,111.62331,63.599998,0.43739632,5.7004399,3.280513,8.8826914,325.56357,429.97592,16.070677,0,0,0,245.41391,23.167019,43.204517,365.21201,1284,43,130,0.066645451,0.12613672,0.1,1,0,1
94,Clc1c(S(=O)(=O)N)cc(S(=O)(=O)N)cc1Cl,Diclofenamide,0,Zhu Calibration,,,,,,,,,,,,,,,,,,,,,,0/1,Zhu,Negative,0,30.128757,0,0,2,3,4,0,6,0,22,2,6,16,8,53.087944,2.4130883,0,0,6,2,0,6,0,2,4,0,2,2.8790014,-2.3389039,-0.61353749,0.61450171,2.448271,-2.5896349,-0.3339,0.89336634,2.4291406,-2.0002887,-0.2068848,1.0308956,2.7721641,19.031242,2,0.125,6,22,0,16,3,2,0.125,16,0,12.723615,10.659671,3.1547005,3.7236147,7.0317106,7.4275522,1.6547005,2.2996597,0,0,1.1410991,6,0,-0.77615392,-0.39680085,0.0169417,2.2902057,-1.3499793,-0.46192604,0.20691562,2.3105326,-0.41646129,-0.082259998,0.43111372,2.5632215,14.0625,4.3491125,3.25,17.415096,5.464046,4.1272378,5.9473052,6,4,1,0,0.016000001,-3.30668,6.0609465,0,1,6,1,1,2,0,5.2280002,-5.2280002,1.4820222,-1.4820222,0.20995195,0.15978226,54.687267,25.305422,12.254904,4.5197463,0,4.1846013,4.1846013,0,59.163895,0,18.0875,64.033043,0,0,0.70618474,0.57334584,0.25985226,0.29381528,0.42665419,0.033963028,174.01874,141.28444,64.033043,72.402252,105.13654,8.3692026,0.33333334,0.5,5.2280002,-5.2280002,0.27677888,0.18706962,0.44482076,0.70677197,0.33325306,0.55517924,0.293228,0.22192618,109.61317,174.16345,82.120544,136.80782,72.25753,54.687267,4,0,1,0.27677888,0.18706962,1,0.28819999,62.582867,96.343376,13.281486,0,0,3.1014678,7.0012131,35.286369,0,78.297287,5.9208398,96.343376,0,3.1014678,7.0012131,62.582867,35.286369,0,91.578773,120.32,0.54356444,5,2.5390115,7.7432261,246.42099,267.42813,64.033043,0,0,40.270241,108.18958,20.211216,104.30328,305.16199,398,25,84,0.13095622,0.0071026292,0.0,0,0,0
95,Clc1c([C@H](Oc2cc(cnc2N)-c2cn(nc2)C2CCNCC2)C)c(Cl)ccc1F,Crizotinib,1,Zhu LD,,,,,,,,,,,,,,,,,,,,,,1/1,Zhu,Positive,1,62.848446,0,0,3,4,4,0,17,0,52,2,6,30,23,92.467064,1.7782128,0,0,21,2,1,22,0,5,1,0,0,1.3216255,-2.7390373,-0.61093748,0.64994776,2.6883304,-2.7925177,-0.41252422,0.75173444,2.7343163,-2.4787478,-0.36953729,0.78460991,2.9421296,31.309553,5,0.15151516,17,55,0,33,3,5,0.15151516,38,0,21.250347,17.920219,12.447229,13.84457,14.435561,10.501468,6.286581,7.751585,1,0,0.82092422,15,0,-0.85603791,-0.39257714,0.048801076,2.6747081,-1.3346664,-0.2663258,0.22554053,2.7861943,-0.51790714,-0.17614315,0.22805916,2.945296,23.168043,10.29244,5.3333335,19.479523,8.5993671,4.436142,5.5837188,6,3,1,1,4.1750002,-5.1436801,11.7019,1,1,23,0,4,7,2,4.9829998,-4.9840002,2.1460598,-2.1460598,0.066193171,0.15559939,91.556442,63.43964,54.526966,0,0,0,0,99.299667,59.163895,0,9.4210396,17.591211,6.6511192,2.6406472,0.93350583,0.48175141,0.066494189,0.066494189,0.51824862,0,377.40765,194.76758,26.882978,26.882978,209.52304,0,0.46666667,0.875,4.9829998,-4.9840002,0.085089304,0.18057784,0.72142702,0.37941918,0.10176169,0.27857298,0.62058079,0.17681128,291.6662,153.39561,41.141296,112.62444,250.895,71.483139,8,0,4,0.085089304,0.18057784,0.63333333,5.2287002,61.907825,35.225109,9.1210184,36.879158,3.185575,0,7.0012131,110.94377,48.187428,134.15477,11.66961,0,61.185108,27.131769,25.880835,8.69907,175.20662,36.879158,111.62331,77.989998,0.37824166,6.044394,3.6977582,9.5103731,404.29062,548.58289,17.607372,0,0,17.742489,329.32352,11.190562,41.032436,450.345,2633,49,160,0.18858741,0.79303205,0.7,3,4,1
96,Clc1c(cc(O)cc1C)C,Chloroxylenol,,,0,Fourches,,,,,,,,,,,,,,,,,,,,0/1,Fourches,Negative,0,23.063137,1,1,0,0,1,0,6,0,19,1,2,10,9,28.181297,1.4832262,0,0,8,1,0,9,0,0,1,0,0,2.5427721,-2.3197205,-0.031573169,0.11272462,2.2929292,-2.1559532,0.11156289,0.35945731,2.4788001,-2.0314155,0.1057,0.40337998,2.5972238,10.258863,0,0,6,19,0,10,2,0,0,13,0,7.7236147,6.7358074,5.1547008,5.7236147,4.6090608,3.4452541,2.6547005,3.4543605,0,0,0.77451533,5,0,-0.76422513,-0.25403222,-0.1131615,2.1196845,-0.76175249,-0.1161482,0.11229878,2.3169611,-0.4846575,-0.054299999,0.19826989,2.4172444,8.1000004,2.9387755,1.75,7.2831273,2.6080396,1.5364743,1.8994684,1,1,1,0,2.8559999,-2.07816,4.2849317,0,1,6,1,1,0,0,1.2970001,-1.2970001,0.63345325,-0.63345325,0.34306172,0.56802034,30.112062,16.989292,0,0,10.324173,0,0,66.422241,29.581947,0,0,0,0,7.7675405,0.8877666,0.64375615,0.048186556,0.11223338,0.35624382,0.06404683,143.10555,103.77173,7.7675405,18.091713,57.425526,10.324173,0.40000001,0.66666669,1.2970001,-1.2970001,0.34695452,0.41017732,0.8877666,0.41115075,0.048186556,0.11223338,0.58884925,0.06404683,143.10555,66.276375,7.7675405,18.091713,94.920883,10.324173,3,0,1,0.34695452,0.41017732,1,2.6624401,25.385227,0,0,0,6.37115,0,3.5006065,35.286369,0,111.04411,4.2590799,0,25.385227,0,15.115185,0,35.286369,0,105.80067,20.23,0.72192812,4.321928,2.0634208,6.3502398,161.19725,202.20645,0,0,0,0,137.41118,0,13.566921,156.612,110,13,48,0.40769222,0.0023930576,0.0,0,0,0
97,Clc1c(cccc1Cl)-c1nnc(nc1N)N,Lamotrigine,1,Zhu Calibration,1,Fourches,1,1,LiuR_2015,LiuZ_PLOS_SIDER,3,1,,,,,,,,A ,1,Rodgers,,,,5/5,Zhu  Fourches  LiuR  LiuZ_SIDER  Rodgers,Positive,1,30.367552,1,0,0,1,3,0,12,0,23,2,5,16,9,42.251476,1.8370206,0,0,9,2,0,7,0,5,0,0,0,2.0191894,-2.1970105,-0.70568699,0.66511786,2.2117221,-2.3776722,-0.56576246,0.81698227,2.4072287,-1.8668402,-0.44583079,1.0043639,2.5433064,9.8124495,1,0.05882353,12,24,0,17,2,1,0.05882353,12,0,11.706742,9.4961786,4.7320509,5.585422,7.5922241,5.0496879,2.2440169,3.1498299,0,0,0.9243353,8,0,-0.78069597,-0.4507412,0.074568734,2.171123,-1.3403753,-0.31781259,0.27153423,2.3347068,-0.41059613,-0.19862579,0.36046493,2.4939058,12.456747,5.1041665,2.6514049,9.944047,4.0082951,2.0565896,2.4911671,5,4,1,0,2.49053,-4.0265198,6.159368,1,1,12,1,2,1,0,3.8440001,-3.8440001,1.3323299,-1.3323299,0.16562341,0.21383169,2.2085397,21.835651,52.366165,0,15.681574,0,0,12.254904,83.673698,18.842079,0,5.6825762,13.302238,0,0.84650528,0.59223831,0.084060356,0.15349473,0.40776169,0.069434375,191.18105,133.75549,18.984816,34.666389,92.091934,15.681574,0.5,1,3.8440001,-3.8440001,0.18730488,0.23413111,0.53121167,0.59223831,0.16748871,0.4687883,0.40776169,0.3012996,119.97279,133.75549,37.826893,105.87463,92.091934,68.047737,4,0,2,0.18730488,0.23413111,1,2.0098,65.794373,50.111546,0,0,0,0,7.0012131,58.871876,0,82.5243,6.41078,0,50.111546,0,7.0012131,10.169335,118.72393,0,78.297287,90.709999,0.56510133,5.0874629,2.7591879,7.7147155,225.84743,277.05963,24.524654,0,0,35.484978,124.53696,26.872137,60.009636,256.09601,417,25,82,0.1990691,0.026009606,0.0,0,0,1
98,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,Felodipine,,,,,-1,0,LiuR_2015,LiuZ_PLOS_SIDER,1,0,,,,,,,,I ,0,Rodgers,,,,2/5,Zhu  Fourches  LiuR  LiuZ_SIDER  Rodgers,Negative,0,53.017067,0,0,2,3,2,0,6,0,44,1,3,25,18,74.445717,1.6919482,0,0,18,2,0,19,0,1,4,0,0,2.4087369,-2.5103452,-0.39484116,0.35479125,2.535187,-2.5187452,-0.17974043,0.44631946,2.5904028,-2.2282023,-0.13842292,0.59595299,2.814225,28.018932,4,0.15384616,6,45,4,26,3,6,0.23076923,35,0,18.723249,15.917288,11.516508,12.60193,11.827805,8.4644623,5.3171492,6.6783037,1,1,0.82071549,9,0,-0.81099319,-0.40436572,-0.050675306,2.6859567,-1.086533,-0.25428841,0.070787765,2.7601929,-0.51388085,-0.1359859,0.19026589,2.9610662,21.301775,9.2739229,4.4659748,18.401405,7.9597907,3.8146815,5.8588538,5,1,1,0,4.1599998,-4.9990201,9.8643751,0,1,12,1,2,4,0,3.872,-3.872,1.8470144,-1.8470144,0.15803389,0.17051382,85.467697,58.113873,8.6190128,0,0,29.416998,0,70.706474,83.673698,0,0,0,27.270733,5.0075121,0.83247554,0.50684381,0.087646887,0.16752447,0.49315616,0.079877585,306.58075,186.65842,32.278244,61.695244,181.61758,29.416998,0.44444445,0.80000001,3.872,-3.872,0.18233471,0.15495868,0.70059627,0.40250131,0.087646887,0.29940373,0.59749871,0.21175684,258.01279,148.23157,32.278244,110.26321,220.04443,77.984962,5,0,2,0.18233471,0.15495868,1,3.9642999,18.01075,15.490929,69.724205,20.926258,3.185575,47.268513,11.412009,52.929554,0,178.27533,9.6387701,69.724205,0,18.01075,26.482229,0,52.929554,36.417187,213.65919,64.629997,0.41335541,5.7004399,2.9470043,9.067709,368.276,468.20001,27.133842,0,0,5.6825762,283.80438,34.424511,32.816418,384.259,1300,45,126,0.3189407,0.10973104,0.7,0,0,0
99,Clc1c(noc1NS(=O)(=O)c1ccsc1C(=O)Cc1cc2OCOc2cc1C)C,Sitaxentan,1,Zhu LD,1,Fourches,,,,,,,,,,,,,,,,,,,,2/2,Zhu  Fourches,Positive,1,56.673897,0,0,3,5,6,0,16,0,44,1,7,29,17,87.043205,1.9782547,0,0,18,1,0,15,0,2,6,0,2,1.3689226,-2.3558278,-0.4188441,0.41588649,2.4787099,-2.4288857,-0.36229184,0.53205478,2.5273678,-2.0777688,-0.19741766,0.71775281,2.7965391,32.940105,6,0.1875,16,47,1,32,3,6,0.1875,30,0,20.758783,17.703701,10.723615,12.016144,13.758858,11.145015,4.9838157,6.5124388,0,0,0.91459751,14,0,-0.93013233,-0.37964407,-0.020638583,2.5714395,-0.94365805,-0.37759131,0.12247461,2.658668,-0.4970277,-0.1677721,0.1976461,2.8577096,22.203125,8.859375,4.6210938,20.588161,8.1920042,4.2641931,5.8158035,8,1,1,0,3.2119999,-5.4219799,11.032585,0,1,20,1,4,5,1,4.8850002,-4.888,2.3307123,-2.3307123,0.12804219,0.2196708,59.344692,58.299374,16.917038,59.52602,0,4.1846013,0,66.422241,32.111469,46.24749,10.885262,0,13.566921,10.909872,0.92425936,0.47604683,0.064682409,0.075740643,0.52395314,0.011058234,349.75357,180.14325,24.476793,28.661394,198.27173,4.1846013,0.5,1,4.8850002,-4.888,0.30726713,0.14402619,0.64578307,0.4836823,0.16914167,0.35421693,0.51631773,0.18507528,244.37398,183.03262,64.005737,134.041,195.38235,70.035255,7,1,4,0.30726713,0.14402619,1,3.96121,21.999775,89.860893,6.6407428,22.984112,34.348515,30.153261,3.5006065,68.745567,0,152.58521,10.6714,81.768028,41.596371,1.5507339,24.473761,21.424992,87.613968,28.671722,143.7191,107.73,0.38828552,6,3.5907629,9.4212799,378.41498,497.38928,61.476219,0,0,8.0752068,230.10062,65.724472,69.551422,454.91098,2310,46,160,0.24317205,0.43717799,0.6,3,2,1
100,Clc1c2CN3CC(=O)NC3=Nc2ccc1Cl,Anagrelide,0,Zhu LD,,,,,,LiuZ_PLOS_SIDER,1,0,,,,,,,,,,,,,,0/2,Zhu  LiuZ_SIDER,Negative,0,30.729551,1,1,0,0,2,0,6,0,23,1,3,16,10,44.416271,1.9311422,0,0,10,2,0,7,0,3,1,0,0,1.7483479,-2.4685607,-0.56296116,0.57647681,2.5545249,-2.5037756,-0.49694312,0.74698412,2.5559342,-2.1749349,-0.31336141,0.9453879,2.8488059,13.410449,0,0,6,25,2,18,2,0,0,17,0,11.284093,9.6393766,5.5689139,6.2925286,7.6478672,5.5090837,2.3677905,3.1329932,0,0,0.92946208,8,0,-0.83353055,-0.46585274,0.052466538,2.3775029,-1.1771671,-0.33604667,0.20610054,2.4700766,-0.49227914,-0.20201497,0.37217471,2.6787519,11.111111,4.0329218,1.8612126,9.4435663,3.3877759,1.549776,1.9995428,4,1,1,0,1.99,-3.5441,6.0819235,0,1,15,1,3,0,0,3.2750001,-3.2750001,1.3466115,-1.3466115,0.18333057,0.24392425,2.2085397,54.523685,13.192325,8.6190128,28.631105,0,0,24.509808,59.163895,0,0,5.6825762,13.703812,0,0.7716006,0.49021432,0.09221305,0.22839941,0.50978565,0.13618636,162.21727,103.06009,19.386389,48.017494,107.17467,28.631105,0.5,1,3.2750001,-3.2750001,0.17374046,0.24061069,0.6051026,0.50071943,0.09221305,0.39489737,0.49928057,0.30268434,127.2136,105.26863,19.386389,83.021156,104.96613,63.634769,4,0,3,0.17374046,0.24061069,0.375,2.1926999,18.01075,10.28219,23.862217,18.439579,3.185575,16.78553,7.0012131,35.286369,0,99.493614,6.2314701,23.862217,19.909843,18.01075,10.186788,2.7567475,53.725948,25.597454,78.297287,44.700001,0.58587331,5.1699252,2.7027693,7.7116303,210.23476,275.5271,19.249496,0,0,5.6825762,149.32748,28.631105,24.932074,256.09198,399,26,90,0.2337155,0.081818856,0.0,0,0,0
101,Clc1c2N(C=C(C(O)=O)C(=O)c2cc(F)c1N1CC(N)CC1)C1CC1,Clinafloxacin,,,,,,,,,,,,,,,,0,Ekins,,,,,,,0/1,Ekins,Negative,0,49.698483,0,0,2,3,4,0,6,0,42,3,7,25,17,77.99382,1.8569957,0,0,17,1,1,17,0,3,3,0,0,1.6017538,-2.5229716,-0.60782522,0.63276893,2.7640977,-2.7388635,-0.56107599,0.72337782,2.8114896,-2.2675581,-0.4288229,0.77085537,3.0325644,25.423519,3,0.10714286,6,45,3,28,3,3,0.10714286,36,0,17.877951,14.09228,9.8449354,10.72325,11.879918,8.5662031,5.2490187,6.1910715,1,1,0.84977764,11,0,-0.83839351,-0.45686758,0.096397758,2.7232547,-1.3634539,-0.33225676,0.21026678,2.7794549,-0.5206517,-0.23813619,0.26603281,3.0064542,18.367348,6.8664141,3.0218523,15.009753,5.5611086,2.4309812,3.3388348,6,3,1,0,1.626,-3.5950699,8.9988441,0,1,19,1,4,4,0,4.954,-4.954,2.1032724,-2.1032724,0.14069937,0.15564995,102.81566,26.449621,28.467411,0,18.782692,14.708499,0,38.358845,29.581947,0,0,11.908636,27.133842,14.418659,0.72186452,0.38832983,0.1710068,0.27813548,0.6116702,0.10712869,225.67348,121.40192,53.461136,86.952332,191.22388,33.491192,0.45454547,0.83333331,4.954,-4.954,0.1425111,0.19983852,0.6103574,0.4140622,0.1329145,0.3896426,0.5859378,0.25672808,190.81348,129.44653,41.552502,121.81233,183.17928,80.259827,6,0,4,0.1425111,0.19983852,0.60000002,2.1501,39.145817,13.433075,40.94717,62.264381,27.047791,3.185575,3.5006065,34.85754,56.605217,59.622253,9.1765699,47.724434,14.960114,40.754871,17.835693,38.410683,91.462761,50.312233,39.148643,86.870003,0.43513325,5.8073549,3.1459031,9.0316296,312.62579,430.45615,13.566921,0,0,0,210.37895,23.167019,58.443253,365.79199,1334,46,142,0.022234498,0.16599709,0.0,0,0,0
102,Clc1c2O[C@]3(C(CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,Griseofulvin,,,,,0,1,LiuR_2015,LiuZ_PLOS_SIDER,0,0,1,LiuZ_Pfizer,,,,1,Ekins,,,,0,1,Chen,7/8,Zhu  Fourches  LiuR  LiuZ_SIDER  LiuZ_Pfizer  Ekins  Rodgers  Chen,Positive,1,48.247482,0,0,2,3,6,0,6,0,41,0,6,24,16,65.176117,1.5896615,0,0,17,1,0,17,0,0,6,0,0,1.9785857,-2.6235604,-0.55726075,0.39725044,2.735198,-2.6877284,-0.46240553,0.53271502,2.6992755,-2.4027193,-0.28267941,0.66955268,2.9609036,28.584518,3,0.11538462,6,43,3,26,3,3,0.11538462,34,0,17.645901,14.522541,10.939157,11.817472,11.399449,7.753088,4.5325274,5.5595322,2,1,0.83032805,10,0,-0.78907061,-0.45120531,-0.067348711,2.7475562,-0.93960911,-0.31031367,0.067004025,2.7992728,-0.52317256,-0.19415194,0.14971685,2.9967883,18.781065,6.9575,2.7315238,16.063351,5.9080267,2.3075089,3.9542794,6,0,1,0,2.727,-4.0819402,8.7191467,0,1,16,1,3,4,0,3.1070001,-3.1099999,2.080759,-2.080759,0.099441275,0.16757442,133.7964,74.503342,12.978266,8.458519,8.458519,0,0,0,48.329624,0,0,0,27.133842,10.015024,0.8590945,0.2640886,0.11477263,0.14090551,0.73591143,0.026132872,278.06616,85.478493,37.148865,45.607388,238.19505,8.458519,0.5,1,3.1070001,-3.1099999,0.15931767,0.18327974,0.60126841,0.30802375,0.11477263,0.39873162,0.69197625,0.28395897,194.61467,99.699142,37.148865,129.05888,223.97441,91.910011,5,1,3,0.15931767,0.18327974,1,2.8103001,32.999664,11.375222,34.862103,0,31.458588,111.39503,3.5006065,35.286369,18.868406,88.204941,8.6125498,58.724319,32.999664,4.4107962,27.659893,0,54.154774,11.375222,178.62627,71.059998,0.43739632,5.7004399,2.9795046,8.9289761,323.67355,424.85617,37.148865,0,0,0,256.16208,16.917038,37.148865,352.76999,1137,50,132,0.46293268,0.15188725,0.0,0,0,1
